MEJORES GK
------------------------------------------------
1. T_Courtois (che), 38,080 puntos
52. P_Rajkovic (lib), 1,980 puntos
53. Raúl_Gudiño (rom), 1,680 puntos
54. Ruben_Yañez (lib), 1,680 puntos
55. Artur_Rudko (lib), 1,540 puntos
56. Keylor_Navas (che), 1,400 puntos
57. Jasmin_Fejzic (lib), 1,100 puntos
58. S_Mignolet (liv), 0,880 puntos
59. Higashiguchi (lib), 0,770 puntos
60. S_Nishikawa (lib), 0,770 puntos
61. Camilo_Vargas (lib), 0,660 puntos
62. J_P_Carrizo (int), 0,550 puntos
63. Hidde_Jurjus (psv), 0,360 puntos
64. André_Moreira (atm), 0,360 puntos
65. André_Onana (ajx), 0,330 puntos
66. Robert_Almer (lib), 0,330 puntos
67. S_Kapino (lib), 0,300 puntos
68. Arrizabalaga (oma), 0,300 puntos
69. Ibrahim_Koné (lib), 0,240 puntos
70. Paulo_Garcés (lib), -0,220 puntos
71. Jonas_Lössl (lib), -0,440 puntos
72. Goran_Karacic (lib), -0,480 puntos
73. Heinz_Lindner (lib), -0,880 puntos
74. M_Shevchenko (lib), -1,650 puntos
75. G_Donnarumma (mil), -1,680 puntos
76. J_de_J_Corona (lib), -1,870 puntos
77. M_Campaña (lib), -1,900 puntos
78. A_Doukha (lib), -1,920 puntos
79. L_Castellanos (lib), -1,980 puntos
80. A_Lindegaard (lib), -2,160 puntos
81. Alisson (rom), -2,300 puntos
82. R-R_Zieler (lei), -2,530 puntos
83. C_Bonilla (lib), -2,640 puntos
84. Jack_Butland (slb), -2,800 puntos
85. Leao_Butrón (lib), -3,190 puntos
86. Andriy_Pyatov (lib), -3,200 puntos
87. K_Nordfeldt (lib), -3,300 puntos
88. Sergio_Rochet (lib), -3,300 puntos
89. J_Cillessen (bar), -3,700 puntos
90. A_Nübel (s04), -3,780 puntos
91. Remko_Pasveer (psv), -3,960 puntos
92. Sebas_Sosa (lib), -3,960 puntos
93. Andrés_Fdez (vil), -4,730 puntos
94. H_Djemili (lib), -4,800 puntos
95. B_Ali_Sangaré (lib), -4,800 puntos
96. Sven_Ulreich (bmu), -4,840 puntos
97. Malik_Asselah (lib), -4,920 puntos
98. Iker_Casillas (opo), -5,500 puntos
99. K-J_Johnsson (lib), -6,710 puntos
100. G_Ochoa (lib), -7,000 puntos
101. M_Sarr (bmu), -7,540 puntos
102. O_Karnezis (lib), -7,560 puntos
103. Artur_Boruc (lib), -8,360 puntos
104. V_Babacan (lib), -8,500 puntos
105. Joe_Hart (lib), -8,880 puntos
106. Ramazan_Özcan (ble), -9,200 puntos
107. Diego_Alves (val), -10,320 puntos
108. Ederson (nap), -10,720 puntos
109. Raïs_M'Bolhi (lib), -11,040 puntos
110. L_Badiashile (asm), -11,960 puntos
111. David_Ospina (mun), -12,000 puntos
112. Weidenfeller (bdo), -12,430 puntos
113. J_Hopf (lib), -15,500 puntos
114. Anthony_Lopes (lyo), -15,660 puntos
115. Alexander_D (lib), -15,800 puntos
116. Júlio_César (lib), -16,000 puntos
117. Joel_Robles (eve), -16,800 puntos
118. K_Schmeichel (lei), -17,370 puntos
119. J_Doménech (val), -18,240 puntos
120. W_Caballero (mci), -18,480 puntos
121. Mandé_Sayouba (lib), -19,320 puntos
122. Wellenreuther (s04), -20,160 puntos
123. Pedro_Gallese (mil), -20,200 puntos
124. A_Plizzari (mil), -22,490 puntos
125. Asmir_Begovic (psg), -23,400 puntos
126. M_ter_Stegen (slb), -25,740 puntos
127. Y_Cardinale (nic), -35,100 puntos
------------------------------------------------

RENDIMIENTO MEDIO: 0,262 puntos

RENDIMIENTO MEDIO (MEDIA = 16, 1 JUGADORES): -3,780 puntos.
RENDIMIENTO MEDIO (MEDIA = 17, 3 JUGADORES): -13,997 puntos.
RENDIMIENTO MEDIO (MEDIA = 18, 22 JUGADORES): -2,149 puntos.
RENDIMIENTO MEDIO (MEDIA = 19, 36 JUGADORES): -1,308 puntos.
RENDIMIENTO MEDIO (MEDIA = 20, 28 JUGADORES): -2,193 puntos.
RENDIMIENTO MEDIO (MEDIA = 21, 11 JUGADORES): -7,814 puntos.
RENDIMIENTO MEDIO (MEDIA = 22, 16 JUGADORES): 7,130 puntos.
RENDIMIENTO MEDIO (MEDIA = 23, 7 JUGADORES): 20,470 puntos.
RENDIMIENTO MEDIO (MEDIA = 24, 2 JUGADORES): 21,720 puntos.
RENDIMIENTO MEDIO (MEDIA = 25, 1 JUGADORES): 19,900 puntos.
RENDIMIENTO MEDIO (MEDIA = 26, 0 JUGADORES): 0,000 puntos.
RENDIMIENTO MEDIO (MEDIA = 27, 0 JUGADORES): 0,000 puntos.
RENDIMIENTO MEDIO (MEDIA = 28, 0 JUGADORES): 0,000 puntos.
RENDIMIENTO MEDIO (MEDIA = 29, 0 JUGADORES): 0,000 puntos.
RENDIMIENTO MEDIO (MEDIA = 30, 0 JUGADORES): 0,000 puntos.

Numero total de Sav: 8838. Media: 29,265
Numero total de Con: 3334. Media: 11,040
Numero total de Tk: 0. Media: 0,000
Numero total de Ps: 0. Media: 0,000
Numero total de Sh: 0. Media: 0,000
Numero total de Goal: 0. Media: 0,000
Numero total de Assists: 0. Media: 0,000
