<pre>International League:, Manchester United vs. OGC Nice (Sat Aug 18)


                    Manchester United  |  OGC Nice
                            3-2-2-3 L  |  3-1-3-3 P
                  "Sir" Alex Ferguson  |  Lucien Favre
                                       |
                       Sergio_Rico GK  |  GK Y_Cardinale
                       Eric_Bailly DF  |  DF Nélson_Semedo
                       Alex_Sandro DF  |  DF Lucas_Digne
                      Serge_Aurier DF  |  DF R_Pereira
                       P_Zielinski MF  |  DM G_Kondogbia
                     Jack_Wilshere MF  |  MF Jean_M_Seri
                       Eden_Hazard AM  |  MF V_Koziello
                       J_Rodríguez AM  |  MF Onyinye_Ndidi
                            Neymar FW  |  FW H_Lozano
                     Dries_Mertens FW  |  FW G_Guedes
                         R_Firmino FW  |  FW H_Onyekuru
                                       |
                      David_Ospina SUB |  SUB W_Benítez
          ...  Dries_Mertens se anticipa a su marcador ! 
          ...  Y_Cardinale agranda su figura y atrapa la pelota espectacularmente 
Min. 12 :(nic) Lucas_Digne recupera el balón 
          ...  Levanta la cabeza! 
          ...  Ve el desmarque de su compañero 
          ...  H_Onyekuru recibe un pase increíble 
          ...  Se marcha! 
          ...  Corte finísimo y preciso de Eric_Bailly 
Min. 15 :(mun) R_Firmino ha roto por completo el fuera de juego! 
          ...  Encara a Y_Cardinale ! 
          ...  V_Koziello lo derriba muy cerca del área! 
          ...  Está en problemas!! 
          ...  AMARILLA!:amarilla: 
          ...  Desde luego, se lo merecía! Y tiene suerte de que no ha sido de otro color! 
Min. 17 :(nic) Jean_M_Seri tiene espacio y tiempo 
          ...  A ver qué inventa! 
          ...  Amaga el disparo y mete un pase 
          ...  H_Onyekuru controla con el pecho 
          ...  Encara puerta! 
          ...  H_Onyekuru ve a Sergio_Rico adelantado ! 
          ...  El disparo rebota en el defensa y va directo hacía la grada!! 
          ...  CÓRNER! :corner: 
          ...  Onyinye_Ndidi con un peligroso lanzamiento al segundo palo! 
          ...  G_Guedes se deshace de su marcador 
          ...  y mete la cabeza! 
          ...  El disparo se le escurre a Sergio_Rico de las manos 
          ...  rueda lentamente hacia el marco! 
          ...  Pero sale a centímetros del palo! 
Min. 18 :(nic) G_Guedes se tira el balón largo ante Alex_Sandro 
          ...  Se lleva al defensa por velocidad! 
          ...  Parecia Gareth Bale en aquella Final de la Copa del Rey! 
          ...  G_Guedes busca el palo por bajo ! 
          ...  Sergio_Rico la ve venir con calma, va muy alta! 
          ...  Oh, ha medido mal!! 
          ...  Sergio_Rico reacciona a la desesperada y mete la mano! 
          ...  CÓRNER! :corner: 
          ...  Nélson_Semedo centra con fuerza al área pequeña! 
          ...  Sergio_Rico sale con valentía y atrapa el balón! 
Min. 19 :(nic) V_Koziello está cerrado por tres contrarios 
          ...  Abre a la banda para romper la presión 
          ...  H_Lozano recibe con campo por delante 
          ...  H_Lozano regatea a uno, dos y... oh! Chuta! 
          ...  :gol: 
          ...  Los seguidores del OGC Nice lo celebran efusivamente! 
          ...  Manchester United 0-2 OGC Nice ...
Min. 23 :(mun) Neymar gana metros 
          ...  Neymar le pega 'mordida'! 
          ...  El balón va haciendo extraños en el aire 
          ...  Al cielo del estadio <venue>!!! 
Min. 23 :(mun) J_Rodríguez hace una bicicleta y cambia el juego hacia Neymar 
          ...  V_Koziello con una entrada durísima 
          ...  François_Letexier lo llama inmediatamente 
          ...  La segunda ! A la calle ! 
          ...  Se encara de mala manera con el colegiado! 
          ...  Sus compañeros lo reducen. Ojo que esto podría costarle caro! :roja: 
          ...  François_Letexier concede el PENALTI !! 
          ...  El capitán del equipo contrario lo manda a tomar gárgaras! 
          ...  podrá R_Firmino aguantar la presión? 
          ...  La ha clavado, ajustada al palo! 
          ...  :gol: 
          ...  GOOOOOOL! 
          ...  Manchester United 1-2 OGC Nice...
Min. 27 :(nic) Jean_M_Seri se mete en diagonal a través de los defensas 
          ...  Se va del central que le sale al paso! 
          ...  El extremo se cuela por la espalda del lateral 
          ...  Envía el pase a Onyinye_Ndidi 
          ...  Eden_Hazard llega segundos tarde al corte 
          ...  Se ha pasado dos pueblos!!! 
          ...  AMARILLA!! :amarilla: 
          ...  Increíble! Una de las más rigurosas de la historia de ESO 
          ...  FALTA DIRECTA 
          ...  Un poco más adelante del medio campo! 
          ...  G_Guedes con la jugada de estrategia 
          ...  H_Lozano recibe el pase! 
          ...  H_Lozano trata de ajustar el cuero al palo ! 
          ...  Dispara excesivamente alto! 
          ...  Está horrorizado por lo que falló! 
          ...  No es para menos! 
Min. 29 :(nic) H_Lozano en carrera 
          ...  Le hace un túnel a Eric_Bailly!! Ui, le ha soltado el pie! Pero no le ha tocado! Que clase! 
          ...  Eric_Bailly 'placa' a su oponente 
          ...  "FUERA, FUERA, FUERA" ruge el estadio 
          ...  El colegiado le pide que se calme 
          ...  Una más de estas y se juega la roja 
          ...  FALTA DIRECTA! 
          ...  Peligro! 
          ...  H_Onyekuru dispara a puerta 
          ...  Pero Sergio_Rico bloca el cuero con mucha tranquilidad 
Min. 30 :(mun) J_Rodríguez se aprovecha de un error de Onyinye_Ndidi 
          ...  Ese error puede costarle caro Lucien Favre esta gritando! 
          ...  Pero Lucas_Digne lo aparta del balón con el codo. El delantero se queja, el defensa, sonríe! 
Min. 35 :(nic) Jean_M_Seri cambia el ritmo 
          ...  Se va por velocidad de Serge_Aurier! 
          ...  Jean_M_Seri suelta un cañonazo. Problemas para Sergio_Rico ! 
          ...  Chuta con el exterior! 
          ...  Uhhhhh! Ha salido a metros del marco 
Min. 37 :(nic) El balón queda muerto! 
          ...  G_Guedes lo recoge en la línea de medios 
          ...  Se cuela entre los dos centrales! 
          ...  Pero P_Zielinski cabecea el balón hacia el portero 
Min. 39 :(nic) Nélson_Semedo salta sobre la tremenda entrada de P_Zielinski 
          ...  Jack_Wilshere se lleva por delante a su rival! 
          ...  PENALT!!! 
          ...  No! François_Letexier da saque de puerta! 
          ...  Se buscan gafas para el árbitro! Urgente! 
Min. 41 :(nic) A ver qué inventa Onyinye_Ndidi ahora. Pase de interior hacia G_Guedes 
          ...  P_Zielinski se lleva el balón con la mano!! 
          ...  François_Letexier no lo ha visto! Que suerte! Podría haber recibido amarilla! 
Min. 43 :(REF) El cuarto árbitro indica que se va a añadir 1 minuto al tiempo reglamentario
Min. 43 :(nic) G_Guedes evita la entrada de Serge_Aurier 
          ...  G_Guedes busca la escuadra ! 
          ...  Golpea en la madera 
          ...  Y fuera! Está desesperado 
Min. 45 :(nic) H_Lozano frena el contraataque y espera algún apoyo 
          ...  Cambia el juego al otro lado del campo 
          ...  Cambia el juego y corre hacia arriba! 
          ...  Le devuelve el balón, vaya combinación! 
          ...  Jack_Wilshere se anticipa la acción 
          ...  Vaya pedazo de defensa! 
          ...  Los aficionados del OGC Nice corean su nombre! 

[center][b]*************  :primeraparte:  ****************[/center][/b]
Resultado al descanso: Manchester United 1-2 OGC Nice

Min. 46 :(mun) Neymar se la esta sacando, se va de uno 
          ...  Se va de otro, pero ¿que es esto? nadie lo para! 
          ...  Lucas_Digne se lleva el balón con la mano!! 
          ...  François_Letexier no lo ha visto! Que suerte! Podría haber recibido amarilla! 
Min. 48 :(mun) Dries_Mertens combina con Eden_Hazard. Le ha metido un buen balón picado 
          ...  Onyinye_Ndidi efectúa un espectacular tackle 
          ...  François_Letexier indica la falta... hacia el otro lado! 
          ...  FALTA DIRECTA! 
          ...  Justo en el pico del área! 
          ...  Dries_Mertens engaña al equipo rival 
          ...  mete el pase para R_Firmino 
          ...  Nélson_Semedo aparece de la nada. El delantero aún está buscando el balón! 
Min. 53 :(nic) Lucas_Digne se lleva a su rival con una bicicleta 
          ...  Se queda solo! 
          ...  Lucas_Digne vuela con bravura para rematar en plancha! 
          ...  :gol: 
          ...  Corre a festejar el tanto con <m1>!!! 
          ...  Manchester United 1-3 OGC Nice ...
Min. 54 :(mun) J_Rodríguez con un pase muy fuerte para Dries_Mertens 
          ...  Dries_Mertens con un disparo a ras de suelo! 
          ...  El disparo coge un efecto envenenado 
          ...  Y_Cardinale reacciona rápidamente y corrige su posición!! 
          ...  No va a llegar! 
          ...  Pero sale rozando el palo!! 
          ...  Y_Cardinale estaba batido! 
Min. 54 :(nic) H_Lozano encara al defensa 
          ...  Se va en velocidad del defensor 
          ...  Oh! Vaya momento más inoportuno para resbalar! 
          ...  H_Lozano desde fuera del área ! 
          ...  Pega en la espalda de un defensa! 
          ...  Sergio_Rico ha quedado descolocado! 
          ...  Sale rozando el palo! Uy! 
          ...  Están atacando con mucha insistencia. Corner. :corner: 
          ...  Nélson_Semedo centra con fuerza al área pequeña! 
          ...  Sergio_Rico lo atrapa! 
Min. 55 :(mun) Niklas_Süle va a tener su oportunidad en este partido 
          ...  Eric_Bailly se va del campo 
          ...  Le niega el saludo a su mánager. Vaya cabreo! 
          ...  Su sustituto jugará de DF :cambio: 
Min. 55 :(nic) Dalbert sustituye a Nélson_Semedo en la posición de DF :cambio: 
Min. 55 :(nic) H_Lozano va en carrera junto a Alex_Sandro 
          ...  El atacante es más rápido! 
          ...  H_Lozano le pega como puede... con la espinilla! 
          ...  Sergio_Rico alcanza el cuero. Buena parada 
          ...  El árbitro pita falta sobre Sergio_Rico , de todas maneras 
Min. 57 :(nic) H_Lozano se saca una sublime ruleta ante su rival 
          ...  Madre mia de dios, si parecia "Zinedine Zidane"! 
          ...  Dries_Mertens le pone la zancadilla!! 
          ...  Ohhh! Le ha dejado un recadito 
Min. 57 :(nic) G_Kondogbia se prepara para sacar de banca 
          ...  Ve a un compañero sólo! 
          ...  El balón vuela hacia G_Guedes 
          ...  Alex_Sandro chuta el cuero con fuerza hacia la grada donde están sentados los aficionados de <t2>!! 
          ...  Ui! Los ha cabreado! Le tiran de todo! 
Min. 59 :(mun) Alex_Sandro con un preciso pase hacia R_Firmino 
          ...  Pierde el control del balón 
          ...  Lucas_Digne mete el pie y lo envía a la grada! 
Min. 60 :(mun) Nemanja_Matic va a tener su oportunidad en este partido 
          ...  Jack_Wilshere se va del campo 
          ...  Le niega el saludo a su mánager. Vaya cabreo! 
          ...  Su sustituto jugará de MF :cambio: 
Min. 60 :(nic) El ayudante del entrenador llama a Paul_Baysse 
          ...  Jean_M_Seri va a ser sustituído 
          ...  El técnico le indica que juegue de MF :cambio: 
Min. 60 :(mun) R_Firmino se ofrece, está sólo! 
          ...  Le intenta hacer el lio! 
          ...  Pero los pies se le hacen un nudo y se cae! 
          ...  Onyinye_Ndidi se esta descojonando en su cara! 
Min. 64 :(nic) G_Kondogbia ve a H_Onyekuru completamente sólo! Que pase le ha dado! 
          ...  H_Onyekuru busca el palo por bajo ! 
          ...  Sergio_Rico mete la mano y alcanza el balón con la punta de los dedos 
Min. 68 :(nic) Sergio_Rico con un mal rechace! 
          ...  Lucas_Digne encara portería! 
          ...  "Sir" Alex Ferguson esta enfadado ¿lo cambiara? 
          ...  Serge_Aurier va al choque 
          ...  Y desplaza al delantero! Pero François_Letexier dice que sigan! 
Min. 69 :(nic) H_Onyekuru hace una bicicleta y mete el pase sobre la llegada de G_Guedes 
          ...  G_Guedes con un verdadero obús ! 
          ...  Sergio_Rico mete la mano y alcanza el balón con la punta de los dedos 
Min. 70 :(mun) Falcao entra por R_Firmino, jugará de FW y sus aficionados reciben el cambio con alegría :cambio: 
Min. 70 :(nic) El ayudante del entrenador llama a F_Chiesa 
          ...  H_Onyekuru va a ser sustituído 
          ...  El técnico le indica que juegue de FW :cambio: 
Min. 71 :(nic) F_Chiesa frena el contraataque y espera algún apoyo 
          ...  Cambia el juego al otro lado del campo 
          ...  Cambia el juego y corre hacia arriba! 
          ...  Le devuelve el balón, vaya combinación! 
          ...  J_Rodríguez con una entrada durísima 
          ...  Creo que buscaba el balón, pero debería calmarse un poquito 
          ...  François_Letexier le grita acaloradamente! Le va a amonestar 
          ...  AMARILLA!! :amarilla: 
Min. 71 :(nic) El balón queda suelto! 
          ...  F_Chiesa gana la posesión 
          ...  F_Chiesa busca la vaselina... desde MEDIO CAMPO!! 
          ...  Sergio_Rico para el lanzamiento 
          ...  Y aleja el cuero! 
Min. 72 :(nic) F_Chiesa encara portería, levanta la cabeza 
          ...  Ve a Nemanja_Matic en su camino y le hace un sublime caño! 
          ...  Joder, este hombre es un mastreo! Los aficionados del OGC Nice gritan: "Olé, Olé y Olé" 
          ...  Alex_Sandro lo envía al césped 
          ...  Los aficionados del OGC Nice reclaman penalti! 
          ...  Pero el arbitro pasa de todo! Los aficionados del Manchester United aplauden la decisión 
Min. 73 :(mun) P_Zielinski se acerca al área 
          ...  Ve a J_Rodríguez desmarcarse 
          ...  Le tira un pase medido 
          ...  Paul_Baysse despeja el balón hacia la grada 
          ...  Ei! Un aficionado se lleva el balón! Al ladrón 
Min. 76 :(nic) G_Kondogbia pisa campo contrario. Mete un pase entre los centrales para H_Lozano 
          ...  H_Lozano con la red entre ceja y ceja! 
          ...  Chuta con el exterior! 
          ...  Uhhhhh! Ha salido a metros del marco 
Min. 77 :(nic) R_Pereira cambia el juego hacia H_Lozano 
          ...  H_Lozano se anticipa a la defensa! 
          ...  Me pareció fuera de juego 
          ...  Sergio_Rico trata de salvar una situación desesperada 
          ...  Regatea a Sergio_Rico 
          ...  Sergio_Rico mete el pie y aleja el balón! El delantero lo mira sorprendido! :tiro: 
Min. 78 :(mun) Dries_Mertens de tacón para Falcao 
          ...  Falcao impacta el cuero con fuerza ! 
          ...  Golpea en la madera 
          ...  Y fuera! Está desesperado 
Min. 80 :(mun) Dries_Mertens dejo su marcador atras con un cambio de ritmo 
          ...  Se va de cara a puerta 
          ...  Los aficionados se levantan! 
          ...  Dries_Mertens prueba suerte con un disparo raso! 
          ...  Rebota en el palo!! 
          ...  El rebote le cae en los pies 
          ...  Trata de regatear al portero 
          ...  Se ha enredado con el balón! Vaya fallo! Su entrenador está dando puñetazos al banquillo! 
Min. 82 :(nic) R_Pereira cuelga arriba sobre Lucas_Digne 
          ...  Pero Niklas_Süle cabecea el balón hacia el portero 
Min. 87 :(mun) Nemanja_Matic espera apoyos 
          ...  Falcao sale de la cueva. Para él va el balón 
          ...  Onyinye_Ndidi se lanza al corte 
          ...  Despeja el cuero! 
          ...  Trata de evitar el córner! 
          ...  Ha salido! 
          ...  CÓRNER! :corner: 
          ...  P_Zielinski le de mucho efecto a su lanzamiento! 
          ...  R_Pereira se anticipa a la jugada 
          ...  Y manda el balón a la grada 
Min. 87 :(nic) F_Chiesa supera a Alex_Sandro 
          ...  El defensa está viviendo una pesadilla! Los aficionados del Manchester United le pitan, tremenda pitada! 
          ...  F_Chiesa con un sutil toque de puntera! 
          ...  Sergio_Rico vuela y atrapa el balon! 
          ...  Acaso Lev Yashin sigue en activo??? 
Min. 88 :(REF) El cuarto árbitro indica que se van a añadir 4 minutos al tiempo reglamentario
Min. 91 :(mun) Falcao ha roto por completo el fuera de juego! 
          ...  Encara a Y_Cardinale ! 
          ...  Lucas_Digne lo derriba muy cerca del área! 
          ...  ROJA!! :roja: 
          ...  Y que de gracias que François_Letexier no es juez de verdad, le habria puesto pena de carcel 
Min. 93 :(mun) P_Zielinski evita la entrada a ras de suelo de Paul_Baysse con un giro 
          ...  Pisa el balón y sigue adelante 
          ...  Estoy soñando? Han visto lo mismo que yo? 
          ...  Falla en el control 
          ...  y G_Kondogbia no desaprovecha el regalo "Sir" Alex Ferguson le esta gritando! 

[center][b]*************  :segundaparte:  ****************[/center][/b]



[b]Detalles del partido[/b]
-------------------------------------------------------------------------------------------
[b]Campo[/b]         : Old Trafford
-------------------------------------------------------------------------------------------
Manchester United [b]Información del partido[/b]
-------------------------------------------------------------------------------------------
[b]Mejor jugador[/b] : R_Firmino
[b]Goleadores[/b]    : R_Firmino (23 pen)
[b]Expulsado[/b]     : N/A
[b]Amonestado[/b]    : Serge_Aurier (6), Eden_Hazard (27), J_Rodríguez (71)
[b]Lesionado[/b]     : N/A
-------------------------------------------------------------------------------------------
OGC Nice [b]Información del partido[/b]
-------------------------------------------------------------------------------------------
[b]Mejor jugador[/b] : H_Onyekuru[b] (Jugador del partido)[/b]
[b]Goleadores[/b]    : H_Onyekuru (7), H_Lozano (19), Lucas_Digne (53)
[b]Expulsado[/b]     : V_Koziello (23), Lucas_Digne (91)
[b]Amonestado[/b]    : N/A
[b]Lesionado[/b]     : N/A
-------------------------------------------------------------------------------------------

[b]Estadísticas del partido[/b]
-------------------------------------------------------------------------------------------
                       Manchester United  |    OGC Nice
Ocasiones de gol     :           9        |       19
Disparos desviados   :           5        |       8
Disparos a puerta    :           4        |       11
Posesión             :          33        |       67
Córners              :           3        |       3
Rojas                :           0        |       2
Amarillas            :           3        |       0
Cambios              :           3        |       3
Faltas               :          12        |       9
Entradas             :           9        |       10
Pases clave          :           9        |       14
-------------------------------------------------------------------------------------------
[b]Resultado final[/b]: Manchester United 1 - 3 OGC Nice
-------------------------------------------------------------------------------------------


Player Statistics - Manchester United
Name          Pos  St  Tk  Ps  Sh  Ag | Min Sav Ktk Kps Ass Sht Gls Yel Red KAb TAb PAb SAb
-------------------------------------------------------------------------------------------
Sergio_Rico    GK  22   1   1   1  30 |  95  10   0   0   0   0   0   0   0  12   0   0   0
Eric_Bailly    DF   1  22   2   2  30 |  56   0   1   1   0   0   0   0   0   0   7   7   0
Alex_Sandro    DF   1  22  13   8  30 |  95   0   2   1   0   0   0   0   0   0  14   7   0
Serge_Aurier   DF   1  22  12   8  30 |  95   0   1   0   0   1   0   1   0   0   5  -2  -1
P_Zielinski    MF   1   7  22  13  30 |  95   0   2   1   0   0   0   0   0   0  44   7   0
Jack_Wilshere  MF   1   9  21  12  30 |  61   0   2   0   0   0   0   0   0   0  40   0   0
Eden_Hazard    AM   1   1  23  21  30 |  95   0   0   1   0   1   0   1   0   0  -2   5   3
J_Rodríguez    AM   1   2  23  20  30 |  95   0   0   3   0   0   0   1   0   0  -2  19  -2
Neymar         FW   1   2  21  25  30 |  95   0   0   0   0   1   0   0   0   0   0   0   1
Dries_Mertens  FW   1   2  20  24  30 |  95   0   0   1   0   3   0   0   0   0 -10  -3  -3
R_Firmino      FW   1   2  16  22  30 |  71   0   0   0   0   1   1   0   0   0   0   0  30
David_Ospina   GK  20   1   1   1  30 |   0   0   0   0   0   0   0   0   0   0   0   0   0
Niklas_Süle    DF   1  21   2   2  30 |  39   0   1   0   0   0   0   0   0   0   8   0   0
Nemanja_Matic  MF   1  20  22   2  30 |  34   0   0   1   0   0   0   0   0   0   0   7   0
Juan_Cuadrado  AM   1   2  21  20  30 |   0   0   0   0   0   0   0   0   0   0   0   0   0
Falcao         FW   1   2   2  22  30 |  24   0   0   0   0   1   0   0   0   0 -10 -10  -9

Player Statistics - OGC Nice
Name          Pos  St  Tk  Ps  Sh  Ag | Min Sav Ktk Kps Ass Sht Gls Yel Red KAb TAb PAb SAb
-------------------------------------------------------------------------------------------
Y_Cardinale    GK  21   1   1   1  30 |  95   3   0   0   0   0   0   0   0   5   0   0   0
Nélson_Semedo  DF   1  21  12   6  30 |  56   0   1   1   0   0   0   0   0   0   8   7   0
Lucas_Digne    DF   1  21  12   6  30 |  92   0   4   2   1   1   1   0   1   0  22  29  31
R_Pereira      DF   1  21  12   7  30 |  95   0   1   2   0   0   0   0   0   0   8  14   0
G_Kondogbia    DM   1  17  20   3  30 |  95   0   2   3   0   0   0   0   0   0  24  21   0
Jean_M_Seri    MF   1  15  21   6  30 |  61   0   0   3   0   1   0   0   0   0   0  21   1
V_Koziello     MF   1  13  21   7  30 |  23   0   0   1   1   0   0   0   1   0 -10  13 -10
Onyinye_Ndidi  MF   1  18  20   2  30 |  95   0   2   1   0   0   0   0   0   0  22   7   0
H_Lozano       FW   1   2  18  21  30 |  95   0   0   0   0   6   1   0   0   0   5   5  44
G_Guedes       FW   1   2  18  20  30 |  95   0   0   0   0   5   0   0   0   0   5   5  18
H_Onyekuru     FW   1   2  18  20  30 |  71   0   0   1   0   4   1   0   0   0   0   7  38
W_Benítez      GK  19   1   1   1  30 |   0   0   0   0   0   0   0   0   0   0   0   0   0
Dalbert        DF   1  21  12   6  30 |  39   0   0   0   0   0   0   0   0   0   0   0   0
Paul_Baysse    MF   1  20   2   2  30 |  34   0   1   0   0   0   0   0   0   0   9   0   0
Alexis_Blin    DM   1  18  20   1  30 |   0   0   0   0   0   0   0   0   0   0   0   0   0
F_Chiesa       FW   1   1  17  20  30 |  24   0   0   0   0   2   0   0   0   0   0   0  10
1534610804 Produced from ESMS+ v3.08
