A_Sánchez (ARS), 4 mom
Kieran_Gibbs (ARS), 1 mom
Leon_Bailey (BLE), 1 mom
K-J_Huntelaar (S04), 1 mom
Luke_Shaw (BMU), 1 mom
M_Locatelli (AJX), 1 mom
Y_Belhanda (NIC), 1 mom
Jorginho (NAP), 1 mom
Davy_Pröpper (PSV), 1 mom
R_Lewandowski (RMA), 1 mom
Nacho_F (OPO), 1 mom
J_L_Gayà (VAL), 1 mom
Víctor_Ruiz (VIL), 1 mom
José_Callejón (NAP), 1 mom
D_Drinkwater (CHE), 1 mom
Casemiro (RMA), 1 mom
J_Kimmich (BMU), 1 mom
Carlos_Soler (VAL), 1 mom
Nani (VAL), 1 mom
N_Castillo (PSG), 1 mom
Y_Bolasie (EVE), 1 mom
C_Fuchs (LEI), 1 mom
Breel_Embolo (S04), 1 mom
K_Strootman (ROM), 1 mom
G_Pereiro (PSV), 1 mom
Wayne_Rooney (OPO), 1 mom
Toto_Salvio (SLB), 1 mom
Juan_Cuadrado (MUN), 1 mom
Lucas_Leiva (LIV), 1 mom
Dele_Alli (TOT), 1 mom
Pizzi (SLB), 1 mom
B_Silva (ASM), 1 mom
Franck_Ribéry (LEI), 1 mom
C_Ronaldo (RMA), 1 mom
M_Balotelli (NIC), 1 mom
A_Isak (AJX), 1 mom
Éver_Banega (INT), 1 mom
Bernard (NAP), 1 mom
Toni_Kroos (RMA), 1 mom
Nélson_Semedo (SLB), 1 mom
J_dos_Santos (VIL), 1 mom
Sokratis (BDO), 1 mom
T_Hazard (VIL), 1 mom
C_Ansaldi (INT), 1 mom
Admir_Mehmedi (BLE), 1 mom
Romelu_Lukaku (EVE), 1 mom
H_Calhanoglu (BLE), 1 mom
Ivan_Rakitic (BAR), 1 mom
David_Silva (MCI), 1 mom
Diego_Costa (CHE), 1 mom
Mesut_Özil (ARS), 1 mom
O_Dembélé (BDO), 1 mom
I_Güngogan (MCI), 1 mom
Douglas_Costa (BMU), 1 mom
P_Zabaleta (MCI), 1 mom
G_Deulofeu (MIL), 1 mom
Jaume_Costa (VIL), 1 mom
Arturo_Vidal (PSG), 1 mom
Aaron_Ramsey (ARS), 1 mom
Lucas_Biglia (ATM), 1 mom
S_El_Shaarawy (ROM), 1 mom
Adam_Lallana (LIV), 1 mom
M_Verratti (BMU), 1 mom
J_Henderson (LIV), 1 mom
A_Moreno (LIV), 1 mom
Arjen_Robben (BMU), 1 mom
Lionel_Messi (BAR), 1 mom
Claudio_Bravo (MCI), 1 mom
W_Szczesny (ROM), 0 mom
Hugo_Lloris (TOT), 0 mom
Roman_Bürki (BDO), 0 mom
D_Subasic (ASM), 0 mom
Ederson (SLB), 0 mom
S_Handanovic (INT), 0 mom
Diego_Alves (VAL), 0 mom
Alban_Lafont (AJX), 0 mom
Loris_Karius (LIV), 0 mom
G_Buffon (JUV), 0 mom
Anthony_Lopes (LYO), 0 mom
Sergio_Rico (SEV), 0 mom
Jeroen_Zoet (PSV), 0 mom
Y_Cardinale (NIC), 0 mom
Ralf_Fährmann (S04), 0 mom
David_de_Gea (MUN), 0 mom
Manuel_Neuer (BMU), 0 mom
Jan_Oblak (ATM), 0 mom
G_Donnarumma (MIL), 0 mom
Joel_Robles (EVE), 0 mom
Gerard_Piqué (BAR), 0 mom
S_Mustafi (ARS), 0 mom
Bernd_Leno (BLE), 0 mom
Gareth_Bale (BMU), 0 mom
M_Darmian (NAP), 0 mom
Dejan_Lovren (LIV), 0 mom
N'Golo_Kanté (CHE), 0 mom
Petr_Cech (ARS), 0 mom
K_Schmeichel (LEI), 0 mom
Thiago_Silva (PSG), 0 mom
Lars_Bender (BLE), 0 mom
Kevin_Trapp (PSG), 0 mom
L_Koscielny (ARS), 0 mom
V_Kompany (MCI), 0 mom
L_Fejsa (SLB), 0 mom
P_Aubameyang (BDO), 0 mom
M_Musacchio (BAR), 0 mom
Sergio_Agüero (MCI), 0 mom
L_Piszczek (BDO), 0 mom
Rui_Patrício (RMA), 0 mom
Jordi_Alba (BAR), 0 mom
Carlos_Bacca (MIL), 0 mom
N_Clyne (LIV), 0 mom
João_Moutinho (ASM), 0 mom
R_Rodríguez (MIL), 0 mom
A_Romagnoli (MIL), 0 mom
M_De_Sciglio (MIL), 0 mom
G_Bonaventura (MIL), 0 mom
Andrea_Pirlo (MIL), 0 mom
A_Lacazette (LYO), 0 mom
Thomas_Müller (ASM), 0 mom
J_Murillo (INT), 0 mom
Paul_Pogba (BMU), 0 mom
Mattia_Perin (NAP), 0 mom
A_Florenzi (ROM), 0 mom
Pepe (RMA), 0 mom
Kevin_Volland (BLE), 0 mom
M_Gonalons (LYO), 0 mom
F_Orellana (VAL), 0 mom
Alderweireld (TOT), 0 mom
Dries_Mertens (NAP), 0 mom
Fabinho (ASM), 0 mom
Dimitri_Payet (OMA), 0 mom
Philipp_Lahm (BMU), 0 mom
Filipe_Luís (ATM), 0 mom
Harry_Kane (TOT), 0 mom
Leroy_Sané (MCI), 0 mom
M_Valbuena (LYO), 0 mom
G_Rulli (OPO), 0 mom
Falcao (MUN), 0 mom
R_Guerreiro (BDO), 0 mom
Ó_de_Marcos (VIL), 0 mom
Joel_Matip (LIV), 0 mom
R_Nainggolan (ROM), 0 mom
L_Baines (EVE), 0 mom
G_Wijnaldum (LIV), 0 mom
A_Guardado (PSV), 0 mom
A_Schürrle (BDO), 0 mom
M_Schmelzer (BDO), 0 mom
P_Coutinho (LIV), 0 mom
D_De_Rossi (ROM), 0 mom
F_Thauvin (OMA), 0 mom
Jardel (SLB), 0 mom
Javi_Martínez (ARS), 0 mom
Ross_Barkley (EVE), 0 mom
K_Coman (BMU), 0 mom
Eric_Bailly (MUN), 0 mom
Z_Ibrahimovic (PSG), 0 mom
Diego_Godín (ATM), 0 mom
A_Williams (EVE), 0 mom
E_Mammana (LYO), 0 mom
Jérémy_Morel (LYO), 0 mom
C_Tolisso (LYO), 0 mom
A_Fernández (ATM), 0 mom
Danny_Rose (TOT), 0 mom
Schneiderlin (EVE), 0 mom
J_Boateng (BMU), 0 mom
S_Busquets (BAR), 0 mom
Eden_Hazard (CHE), 0 mom
T_Meunier (PSG), 0 mom
D_Sturridge (LIV), 0 mom
Mats_Hummels (BMU), 0 mom
Lucas_Vazquez (OPO), 0 mom
Héctor_Moreno (PSV), 0 mom
Miguel_Veloso (OPO), 0 mom
Marco_Reus (BDO), 0 mom
J_Rodríguez (PSG), 0 mom
Marco_Asensio (RMA), 0 mom
L_Insigne (NAP), 0 mom
M_Trigueros (VIL), 0 mom
R_Soriano (VIL), 0 mom
Kyle_Walker (TOT), 0 mom
T_Courtois (CHE), 0 mom
Gary_Cahill (CHE), 0 mom
Mousa_Dembélé (TOT), 0 mom
Ivan_Perisic (INT), 0 mom
W_Carvalho (MUN), 0 mom
L_Kurzawa (PSG), 0 mom
Marcelo (RMA), 0 mom
V_van_Dijk (TOT), 0 mom
Edin_Dzeko (ROM), 0 mom
Raúl_Albiol (NAP), 0 mom
G_Mercado (SEV), 0 mom
E_Garay (VAL), 0 mom
James_Milner (LIV), 0 mom
André_Gomes (BAR), 0 mom
K_Bellarabi (BLE), 0 mom
Xabi_Alonso (OPO), 0 mom
D_Carvajal (RMA), 0 mom
F_Fazio (ROM), 0 mom
Kamil_Glik (ASM), 0 mom
Niklas_Süle (NIC), 0 mom
R_Sterling (MCI), 0 mom
Nabil_Fekir (LYO), 0 mom
Atsuto_Uchida (MIL), 0 mom
Keisuke_Honda (MIL), 0 mom
Suso (MIL), 0 mom
A_Laporte (NIC), 0 mom
Alex_Sandro (MUN), 0 mom
Sergio_Asenjo (VIL), 0 mom
C_Eriksen (TOT), 0 mom
Á_Di_María (PSG), 0 mom
Thiago_Motta (PSG), 0 mom
Marquinhos (PSG), 0 mom
R_Varane (RMA), 0 mom
Lucas_Ocampos (SLB), 0 mom
Islam_Slimani (LEI), 0 mom
João_Cancelo (VAL), 0 mom
M_Mandzukic (OPO), 0 mom
Bacary_Sagna (MCI), 0 mom
K_Mirallas (EVE), 0 mom
H_Herrera (OPO), 0 mom
K_Mitroglou (SLB), 0 mom
E_Mangala (VAL), 0 mom
L_López (SLB), 0 mom
Sami_Khedira (JUV), 0 mom
O_Giroud (ARS), 0 mom
Yohann_Pelé (OMA), 0 mom
André_Almeida (SLB), 0 mom
M_Brozovic (INT), 0 mom
Nolito (MCI), 0 mom
Santi_Cazorla (ARS), 0 mom
J_Vertonghen (TOT), 0 mom
S_Arias (PSV), 0 mom
Luka_Modric (RMA), 0 mom
Koke (ATM), 0 mom
Julian_Weigl (BDO), 0 mom
Nico_Gaitán (ATM), 0 mom
K_Manolas (ROM), 0 mom
H_Bellerín (ARS), 0 mom
F_Coquelin (ARS), 0 mom
Luuk_de_Jong (PSV), 0 mom
Miguel_Layún (BMU), 0 mom
J_McCarthy (EVE), 0 mom
Bruno_Soriano (VIL), 0 mom
Fernandinho (MCI), 0 mom
Kévin_Gameiro (ATM), 0 mom
John_Terry (CHE), 0 mom
Kurt_Zouma (CHE), 0 mom
Jesús_Corona (OPO), 0 mom
F_Totti (ROM), 0 mom
K_De_Bruyne (MCI), 0 mom
S_Coleman (EVE), 0 mom
Phil_Jagielka (EVE), 0 mom
N_Chalobah (CHE), 0 mom
Isimat-Mirin (PSV), 0 mom
Arda_Turan (JUV), 0 mom
Enzo_Pérez (VAL), 0 mom
Granit_Xhaka (BMU), 0 mom
Mariano (SEV), 0 mom
M_Carrick (CHE), 0 mom
Adrien_Rabiot (PSG), 0 mom
Thomás_Rincón (JUV), 0 mom
Iñigo_Mtnez (SEV), 0 mom
Cesc_Fàbregas (CHE), 0 mom
G_Chiellini (JUV), 0 mom
C_Azpilicueta (CHE), 0 mom
D_Pereira (BAR), 0 mom
M_ter_Stegen (BAR), 0 mom
Sergio_Ramos (RMA), 0 mom
Hugo_Mallo (LEI), 0 mom
Robert_Huth (LEI), 0 mom
Jesús_Vallejo (OPO), 0 mom
Álvaro_Medrán (VAL), 0 mom
A_Barzagli (JUV), 0 mom
Ander_Herrera (NAP), 0 mom
Rod_Fanni (OMA), 0 mom
Morgan_Sanson (OMA), 0 mom
B_Gomis (OMA), 0 mom
Felipe (OPO), 0 mom
F_Ghoulam (NAP), 0 mom
Mario_Gaspar (VIL), 0 mom
S_Kiebling (BLE), 0 mom
David_Luiz (CHE), 0 mom
Naldo (S04), 0 mom
X_Shaqiri (BDO), 0 mom
João_Mário (INT), 0 mom
A_Rüdiger (ROM), 0 mom
Malang_Sarr (AJX), 0 mom
Leandrinho (AJX), 0 mom
D_Rugani (JUV), 0 mom
Coke (S04), 0 mom
Schwensteiger (S04), 0 mom
A_Grimaldo (SLB), 0 mom
Mario_Suárez (VAL), 0 mom
S_Castillejo (ATM), 0 mom
Jorge_Meré (AJX), 0 mom
J_Kluivert (AJX), 0 mom
T_Bakayoko (ASM), 0 mom
K_Koulibaly (NAP), 0 mom
T_Hernández (NIC), 0 mom
Jean_M_Seri (NIC), 0 mom
Wylan_Cyprien (NIC), 0 mom
V_Koziello (NIC), 0 mom
Alassane_Pléa (NIC), 0 mom
Maxi_Pereira (OPO), 0 mom
S_Jovetic (SEV), 0 mom
C_Smalling (JUV), 0 mom
C_Bakambu (VIL), 0 mom
A_Samaris (SLB), 0 mom
Ömer_Toprak (BLE), 0 mom
S_N'Zonzi (SEV), 0 mom
Vitolo (SEV), 0 mom
J_Cillessen (BAR), 0 mom
Rolando (OMA), 0 mom
Clinton_N'Jie (OMA), 0 mom
José_Giménez (ATM), 0 mom
N_Otamendi (MCI), 0 mom
Kylian_Mbappé (ASM), 0 mom
N_Maksimovic (OPO), 0 mom
Chicharito (CHE), 0 mom
Serge_Aurier (PSG), 0 mom
Elseid_Hysaj (MUN), 0 mom
E_Cavani (RMA), 0 mom
Rafael_P (LYO), 0 mom
Rodrigo (VAL), 0 mom
Riyah_Mahrez (LEI), 0 mom
A_Nouri (AJX), 0 mom
Simone_Zaza (VAL), 0 mom
Joshua_Brenet (PSV), 0 mom
Thiago (MUN), 0 mom
N_Mendy (LEI), 0 mom
Jemerson (ASM), 0 mom
B_Matuidi (PSG), 0 mom
D_Sinkgraven (SLB), 0 mom
T_Vermaelen (ROM), 0 mom
Bernardeschi (NAP), 0 mom
M_Montoya (VAL), 0 mom
Alex_Telles (OPO), 0 mom
J_Hendrix (PSV), 0 mom
J_Locadia (PSV), 0 mom
Álvaro_Morata (RMA), 0 mom
Pedro_Pereira (AJX), 0 mom
Diego_Perotti (ROM), 0 mom
Érik_Lamela (TOT), 0 mom
Marcos_Rojo (MUN), 0 mom
Jetro_Willems (PSV), 0 mom
Yaya_Touré (MCI), 0 mom
B_Ramselaar (PSV), 0 mom
O_Boscagli (AJX), 0 mom
Santi_Mina (VAL), 0 mom
Gary_Medel (INT), 0 mom
A_Rahman_Baba (S04), 0 mom
R_Hilbert (BLE), 0 mom
R_Pereira (NIC), 0 mom
Y_Konoplyanka (S04), 0 mom
Kevin_Wimmer (TOT), 0 mom
M_van_Ginkel (PSV), 0 mom
Iván_Marcano (NAP), 0 mom
Mau_Lemos (BMU), 0 mom
Gabriel_B (INT), 0 mom
M_Nastasic (S04), 0 mom
D_Schwaab (PSV), 0 mom
S_Escudero (SEV), 0 mom
G_Lo_Celso (JUV), 0 mom
A_Candreva (INT), 0 mom
M_Diakhaby (LYO), 0 mom
Alessio_Cerci (VIL), 0 mom
Mateo_Kovacic (RMA), 0 mom
B_Trémoulinas (SEV), 0 mom
Maxwell (PSG), 0 mom
Joe_Gomez (LIV), 0 mom
Danny_Simpson (LEI), 0 mom
Molla_Wague (LEI), 0 mom
Y_Benalouane (LEI), 0 mom
Renato_S (LEI), 0 mom
Gustavo_Gómez (SLB), 0 mom
Miranda (INT), 0 mom
Heung-Min_Son (TOT), 0 mom
C_Immobile (TOT), 0 mom
Ben_Davies (TOT), 0 mom
Jonathan_Tah (BLE), 0 mom
Kai_Havertz (AJX), 0 mom
A_Martial (MUN), 0 mom
B_Höwedes (S04), 0 mom
M_Debuchy (LEI), 0 mom
M_Andreolli (INT), 0 mom
D_D'Ambrosio (INT), 0 mom
R_Gagliardini (INT), 0 mom
A_Zivkovic (SLB), 0 mom
Dante (NIC), 0 mom
A_Kolarov (MCI), 0 mom
Nathan_Aké (CHE), 0 mom
Wes_Morgan (LEI), 0 mom
I_Williams (LEI), 0 mom
G_Sertic (OMA), 0 mom
C_Marchisio (JUV), 0 mom
Aleix_Vidal (BAR), 0 mom
F_Vázquez (SEV), 0 mom
Maxime_López (OMA), 0 mom
V_Iborra (SEV), 0 mom
Thomas (VIL), 0 mom
V_Chiriches (BAR), 0 mom
Siem_de_Jong (PSV), 0 mom
Kenedy (CHE), 0 mom
Davide_Santon (INT), 0 mom
Yuto_Nagatomo (INT), 0 mom
T_Sainsbury (INT), 0 mom
Kevin_Kampl (BLE), 0 mom
Willian (CHE), 0 mom
M_de_Ligt (AJX), 0 mom
T_Fosu-Mensah (AJX), 0 mom
D_van_de_Beek (AJX), 0 mom
K_Dolberg (AJX), 0 mom
L_Martínez (AJX), 0 mom
M_Pjanic (JUV), 0 mom
Lucas_Tousart (LYO), 0 mom
Jonas (SLB), 0 mom
Dani_Alves (JUV), 0 mom
F_Passlack (AJX), 0 mom
C_C-Vickers (AJX), 0 mom
G_Krychowiak (RMA), 0 mom
A_Valencia (MUN), 0 mom
Tiago (ATM), 0 mom
Ragnar_Klavan (LIV), 0 mom
Medhi_Benatia (JUV), 0 mom
Josip_Brekalo (AJX), 0 mom
Rémy_Cabella (OMA), 0 mom
Ganso (SEV), 0 mom
Eric_Dier (TOT), 0 mom
G_Paulista (OPO), 0 mom
Mauro_Icardi (INT), 0 mom
Patrice_Evra (OMA), 0 mom
W_Vainqueur (OMA), 0 mom
Sadio_Mané (LIV), 0 mom
A_Dragovic (BLE), 0 mom
Mário_Rui (ROM), 0 mom
M_Sissoko (TOT), 0 mom
N_Sansone (VIL), 0 mom
G_Kondogbia (INT), 0 mom
Ashley_Young (LEI), 0 mom
A_L_Iseka (OMA), 0 mom
Danny_Welbeck (ARS), 0 mom
W_Ben_Yedder (SEV), 0 mom
C_Grenier (ROM), 0 mom
Daley_Blind (CHE), 0 mom
J_Gallardo (VIL), 0 mom
Emerson (ROM), 0 mom
M_El_Haddadi (VAL), 0 mom
Andrés_Fdez (VIL), 0 mom
Almamy_Touré (ASM), 0 mom
Abdou_Diallo (ASM), 0 mom
F_de_Jong (AJX), 0 mom
Johannes_Geis (S04), 0 mom
P_Mertesacker (ARS), 0 mom
Illarramendi (ARS), 0 mom
J_Draxler (RMA), 0 mom
Rúben_Neves (BMU), 0 mom
Asmir_Begovic (CHE), 0 mom
J_Pohjanpalo (BLE), 0 mom
G_Higuaín (JUV), 0 mom
R_Hernández (VIL), 0 mom
Rafinha (OPO), 0 mom
Matías_Britos (PSG), 0 mom
C_Jallet (LYO), 0 mom
R_Funes_Mori (EVE), 0 mom
Sebas_Coates (RMA), 0 mom
Tin_Jedvaj (BLE), 0 mom
P_Kimpembe (PSG), 0 mom
R_Soldado (VIL), 0 mom
Juan_Bernat (RMA), 0 mom
Pepe_Reina (NAP), 0 mom
Samuel_Umtiti (ATM), 0 mom
D_Carriço (SEV), 0 mom
Max_Meyer (S04), 0 mom
Maxwel_Cornet (LYO), 0 mom
P_Zielinski (NAP), 0 mom
G_Siqueira (VAL), 0 mom
Adil_Rami (SEV), 0 mom
Allan (NAP), 0 mom
D_Cheryshev (MUN), 0 mom
M_Rashford (MUN), 0 mom
Theo_Walcott (ARS), 0 mom
R_Ghezzal (LYO), 0 mom
L_Tonelli (NAP), 0 mom
V_Wanyama (TOT), 0 mom
Aaron_Lennon (EVE), 0 mom
Arouna_Koné (EVE), 0 mom
M_Albrighton (LEI), 0 mom
D_Amartey (LEI), 0 mom
Marcos_Alonso (MUN), 0 mom
Nabil_Dirar (ASM), 0 mom
Gabi (ATM), 0 mom
N_N'Koulou (LYO), 0 mom
Jordan_Ferri (LYO), 0 mom
C_Zapata (MIL), 0 mom
Iker_Casillas (OPO), 0 mom
Marc_Bartra (BDO), 0 mom
Julian_Brandt (BLE), 0 mom
Paul_Baysse (NIC), 0 mom
V_Eysseric (NIC), 0 mom
Rémi_Walter (NIC), 0 mom
A_Lusamba (NIC), 0 mom
M_Le_Bihan (NIC), 0 mom
A_Donis (NIC), 0 mom
R_Montolivo (MIL), 0 mom
A_Bertolacci (MIL), 0 mom
M_Hermes (SLB), 0 mom
Nemanja_Matic (MUN), 0 mom
Sergi_Roberto (BAR), 0 mom
Ángel_Correa (ATM), 0 mom
Andrea_Raggi (ASM), 0 mom
N_Pareja (SEV), 0 mom
Marek_Hamsik (MUN), 0 mom
J_Biabiany (INT), 0 mom
G_Paletta (MIL), 0 mom
B_Henrichs (BLE), 0 mom
Luke_Garbutt (EVE), 0 mom
A_Santos (VAL), 0 mom
Lucas (BAR), 0 mom
André_Horta (SLB), 0 mom
M_Yanga-Mbiwa (LYO), 0 mom
Gabriel_Jesus (MCI), 0 mom
David_Ospina (ARS), 0 mom
J_Mathieu (BAR), 0 mom
S_Kolasinac (S04), 0 mom
Victor_Moses (CHE), 0 mom
O-Chamberlain (ARS), 0 mom
F_Torres (ATM), 0 mom
Á_González (VIL), 0 mom
Mason_Holgate (EVE), 0 mom
Karim_Rekik (OMA), 0 mom
Sergio_Romero (MUN), 0 mom
Idrissa_Gueye (EVE), 0 mom
Franco_Cervi (SLB), 0 mom
S_Bergwijn (PSV), 0 mom
Choupo-Moting (S04), 0 mom
C_Kramer (S04), 0 mom
M_Kranevitter (SEV), 0 mom
Phil_Jones (MUN), 0 mom
V_Germain (ASM), 0 mom
Juan_Jesus (ROM), 0 mom
Denis_Suárez (PSG), 0 mom
J_Correa (SEV), 0 mom
Éder (INT), 0 mom
C_Maggio (NAP), 0 mom
Ignazio_Abate (MIL), 0 mom
V_Lindelöf (MIL), 0 mom
Dennis_Aogo (S04), 0 mom
R_Betancur (BAR), 0 mom
Jorge (ASM), 0 mom
Tom_Davies (EVE), 0 mom
Gareth_Barry (EVE), 0 mom
R-R_Zieler (LEI), 0 mom
Keylor_Navas (PSG), 0 mom
Sven_Bender (BDO), 0 mom
M_Ginter (BDO), 0 mom
E_Valencia (EVE), 0 mom
Marco_Benassi (LIV), 0 mom
Juraj_Kucka (MIL), 0 mom
Mario_Pasalic (MIL), 0 mom
A_Carrillo (MIL), 0 mom
S_Okazaki (MIL), 0 mom
M_Batshuayi (BLE), 0 mom
Rafetraniaina (NIC), 0 mom
C_Nkunku (PSG), 0 mom
Kévin_N'Doram (ASM), 0 mom
L_Hernández (ARS), 0 mom
André_Silva (JUV), 0 mom
M_Oyarzabal (ARS), 0 mom
M_Gorgelin (LYO), 0 mom
Tomas_Hubocan (OMA), 0 mom
Menno_Koch (PSV), 0 mom
Jordy_Gaspar (LYO), 0 mom
Brice_Samba (OMA), 0 mom
C_Aránguiz (BLE), 0 mom
Wendell (BLE), 0 mom
O_Zinchenko (PSV), 0 mom
G_Castro (BDO), 0 mom
A_Z_Anguissa (OMA), 0 mom
Houssem_Aouar (LYO), 0 mom
B_Stambouli (S04), 0 mom
Leo_Baptistão (LIV), 0 mom
Stefan_Savic (ATM), 0 mom
R-P_Lundqvist (PSV), 0 mom
G_Burgstaller (S04), 0 mom
G_Boschilia (ASM), 0 mom
A_Aréola (RMA), 0 mom
F_Soares (OPO), 0 mom
A_Diawara (NAP), 0 mom
Z_Machach (OMA), 0 mom
Marko_Pjaca (JUV), 0 mom
Sam_Lammers (PSV), 0 mom
Andy_King (LEI), 0 mom
C_Lenglet (SEV), 0 mom
M_Pennington (EVE), 0 mom
Joe_Hart (LIB), 0 mom
V_Corluka (LIB), 0 mom
D_Caligiuri (S04), 0 mom
Erik_Durm (BDO), 0 mom
Todd_Kane (CHE), 0 mom
J_Hopf (LIB), 0 mom
Alexy_Bosetti (NIC), 0 mom
Nuri_Sahin (BDO), 0 mom
Emre_Mor (BDO), 0 mom
Sven_Ulreich (BMU), 0 mom
José_Fonte (LIB), 0 mom
G_Martins (LIB), 0 mom
Quaresma (LIB), 0 mom
M_Dahoud (LIV), 0 mom
W_Hennessey (LIB), 0 mom
Onyinye_Ndidi (BMU), 0 mom
A_Lookman (EVE), 0 mom
G_Ochoa (LIB), 0 mom
Mauricio_Isla (LIB), 0 mom
Enzo_Roco (LIB), 0 mom
César_Montes (LIB), 0 mom
M_Albornoz (LIB), 0 mom
Marcelo_Díaz (LIB), 0 mom
Jesús_Molina (LIB), 0 mom
Gaël_Clichy (MCI), 0 mom
F_Muslera (LIB), 0 mom
Rafinha_Alc (BAR), 0 mom
Diogo_Jota (BMU), 0 mom
S_Mignolet (LIV), 0 mom
Mario_Lemina (JUV), 0 mom
L_Ulloa (LEI), 0 mom
L_Torreira (LIB), 0 mom
S_Cristóforo (LIB), 0 mom
Santos_Borré (VIL), 0 mom
G-K_N'Koudou (TOT), 0 mom
K_Iheanacho (MCI), 0 mom
V_Janssen (TOT), 0 mom
S_Rode (BDO), 0 mom
Gonzalo_Jara (LIB), 0 mom
Veli_Kavlak (LIB), 0 mom
Bouna_Sarr (OMA), 0 mom
Josip_Drmic (LIB), 0 mom
Ched_Evans (LIB), 0 mom
Dalbert (NIC), 0 mom
Shinji_Kagawa (BDO), 0 mom
Milan_Badelj (LIB), 0 mom
J_Williams (LIB), 0 mom
Derdiyok (LIB), 0 mom
Sam_Vokes (LIB), 0 mom
N_Kalinic (LIB), 0 mom
A_Jedrzejczyk (LIB), 0 mom
F_Grillitsch (LIB), 0 mom
Emre_Can (LIV), 0 mom
J-K_Augustin (PSG), 0 mom
Éder_Balanta (LIB), 0 mom
Divock_Origi (LIV), 0 mom
M_Torres (LIB), 0 mom
F_Di_Santo (S04), 0 mom
Alisson (ROM), 0 mom
Pablo_Sarabia (SEV), 0 mom
K_Trippier (TOT), 0 mom
Jason_Denayer (LIB), 0 mom
R_van_Persie (LIB), 0 mom
M_Ángel_Moyá (ATM), 0 mom
V_Yurchenko (BLE), 0 mom
M_Fellaini (MUN), 0 mom
Timo_Werner (RMA), 0 mom
J-P_Mateta (LYO), 0 mom
D_C-Lewin (EVE), 0 mom
G_Carrillo (ASM), 0 mom
Jesús_Navas (MCI), 0 mom
B_Espinosa (LIB), 0 mom
Frank_Fabra (LIB), 0 mom
D_Bocanegra (LIB), 0 mom
Daniel_Torres (LIB), 0 mom
Carlos_Sáncez (LIB), 0 mom
S_Pérez (LIB), 0 mom
Luis_Muriel (LIB), 0 mom
M_Krohn-Dehli (SEV), 0 mom
V_Stocker (LIB), 0 mom
Davy_Klaassen (AJX), 0 mom
Vaclav_Cerny (BDO), 0 mom
Demarai_Gray (LEI), 0 mom
R_Shawcross (LIB), 0 mom
Jonas_Hector (LIB), 0 mom
Jeffrey_Bruma (LIB), 0 mom
