Lionel_Messi (BAR), 13 partidos jugados
P_Zabaleta (MCI), 9 partidos jugados
Philipp_Lahm (BMU), 9 partidos jugados
Alderweireld (TOT), 9 partidos jugados
Kevin_Volland (BLE), 9 partidos jugados
A_Florenzi (ROM), 9 partidos jugados
Thomas_Müller (ASM), 9 partidos jugados
A_Lacazette (LYO), 9 partidos jugados
Lucas_Biglia (ATM), 9 partidos jugados
S_El_Shaarawy (ROM), 9 partidos jugados
Thomas_Lemar (ASM), 9 partidos jugados
L_Fejsa (SLB), 9 partidos jugados
L_Koscielny (ARS), 9 partidos jugados
Lars_Bender (BLE), 9 partidos jugados
A_Sánchez (ARS), 9 partidos jugados
Petr_Cech (ARS), 9 partidos jugados
M_Darmian (NAP), 9 partidos jugados
Bernd_Leno (BLE), 9 partidos jugados
Joel_Robles (EVE), 9 partidos jugados
F_Torres (ATM), 8 partidos jugados
A_L_Iseka (OMA), 8 partidos jugados
A_Kolarov (MCI), 8 partidos jugados
Baumgartinger (BLE), 8 partidos jugados
A_Martial (MUN), 8 partidos jugados
Ben_Davies (TOT), 8 partidos jugados
Heung-Min_Son (TOT), 8 partidos jugados
G_Lo_Celso (JUV), 8 partidos jugados
D_Sánchez (MUN), 8 partidos jugados
Gary_Medel (INT), 8 partidos jugados
Santi_Mina (VAL), 8 partidos jugados
Marcos_Rojo (MUN), 8 partidos jugados
J_Hendrix (PSV), 8 partidos jugados
Luis_Suárez (JUV), 8 partidos jugados
R_Mandragora (JUV), 8 partidos jugados
Joshua_Brenet (PSV), 8 partidos jugados
Kylian_Mbappé (ASM), 8 partidos jugados
Álvaro_Medrán (VAL), 8 partidos jugados
Z_Bakkali (VAL), 8 partidos jugados
Cesc_Fàbregas (CHE), 8 partidos jugados
D_Drinkwater (CHE), 8 partidos jugados
Casemiro (RMA), 8 partidos jugados
M_Carrick (CHE), 8 partidos jugados
Carlos_Soler (VAL), 8 partidos jugados
K_De_Bruyne (MCI), 8 partidos jugados
Kévin_Gameiro (ATM), 8 partidos jugados
Fernandinho (MCI), 8 partidos jugados
J_McCarthy (EVE), 8 partidos jugados
Miguel_Layún (BMU), 8 partidos jugados
Breel_Embolo (S04), 8 partidos jugados
G_Pereiro (PSV), 8 partidos jugados
K_Strootman (ROM), 8 partidos jugados
K_Manolas (ROM), 8 partidos jugados
Nico_Gaitán (ATM), 8 partidos jugados
E_Mangala (VAL), 8 partidos jugados
K_Mirallas (EVE), 8 partidos jugados
H_Herrera (OPO), 8 partidos jugados
Bacary_Sagna (MCI), 8 partidos jugados
M_Mandzukic (OPO), 8 partidos jugados
C_Eriksen (TOT), 8 partidos jugados
B_Silva (ASM), 8 partidos jugados
Franck_Ribéry (LEI), 8 partidos jugados
R_Sterling (MCI), 8 partidos jugados
Xabi_Alonso (OPO), 8 partidos jugados
James_Milner (LIV), 8 partidos jugados
Bernard (NAP), 8 partidos jugados
V_van_Dijk (TOT), 8 partidos jugados
Mousa_Dembélé (TOT), 8 partidos jugados
T_Courtois (CHE), 8 partidos jugados
Kyle_Walker (TOT), 8 partidos jugados
Marco_Asensio (RMA), 8 partidos jugados
Miguel_Veloso (OPO), 8 partidos jugados
Héctor_Moreno (PSV), 8 partidos jugados
Lucas_Vazquez (OPO), 8 partidos jugados
D_Sturridge (LIV), 8 partidos jugados
S_Busquets (BAR), 8 partidos jugados
Eden_Hazard (CHE), 8 partidos jugados
T_Meunier (PSG), 8 partidos jugados
Admir_Mehmedi (BLE), 8 partidos jugados
J_Boateng (BMU), 8 partidos jugados
Schneiderlin (EVE), 8 partidos jugados
A_Fernández (ATM), 8 partidos jugados
Diego_Godín (ATM), 8 partidos jugados
Eric_Bailly (MUN), 8 partidos jugados
Samir_Nasri (SEV), 8 partidos jugados
D_Sidibé (ASM), 8 partidos jugados
Ross_Barkley (EVE), 8 partidos jugados
Javi_Martínez (ARS), 8 partidos jugados
H_Calhanoglu (BLE), 8 partidos jugados
Ivan_Rakitic (BAR), 8 partidos jugados
Diego_Costa (CHE), 8 partidos jugados
M_Schmelzer (BDO), 8 partidos jugados
A_Schürrle (BDO), 8 partidos jugados
A_Guardado (PSV), 8 partidos jugados
Mesut_Özil (ARS), 8 partidos jugados
G_Wijnaldum (LIV), 8 partidos jugados
L_Baines (EVE), 8 partidos jugados
Joel_Matip (LIV), 8 partidos jugados
R_Nainggolan (ROM), 8 partidos jugados
Ó_de_Marcos (VIL), 8 partidos jugados
R_Guerreiro (BDO), 8 partidos jugados
G_Rulli (OPO), 8 partidos jugados
O_Dembélé (BDO), 8 partidos jugados
I_Güngogan (MCI), 8 partidos jugados
Y_Carrasco (ATM), 8 partidos jugados
G_Deulofeu (MIL), 8 partidos jugados
Filipe_Luís (ATM), 8 partidos jugados
Dimitri_Payet (OMA), 8 partidos jugados
Jaume_Costa (VIL), 8 partidos jugados
Fabinho (ASM), 8 partidos jugados
F_Orellana (VAL), 8 partidos jugados
M_Gonalons (LYO), 8 partidos jugados
Arturo_Vidal (PSG), 8 partidos jugados
Pepe (RMA), 8 partidos jugados
Mattia_Perin (NAP), 8 partidos jugados
J_Murillo (INT), 8 partidos jugados
A_Romagnoli (MIL), 8 partidos jugados
M_De_Sciglio (MIL), 8 partidos jugados
G_Bonaventura (MIL), 8 partidos jugados
Andrea_Pirlo (MIL), 8 partidos jugados
João_Moutinho (ASM), 8 partidos jugados
R_Rodríguez (MIL), 8 partidos jugados
N_Clyne (LIV), 8 partidos jugados
Adam_Lallana (LIV), 8 partidos jugados
Jordi_Alba (BAR), 8 partidos jugados
Carlos_Bacca (MIL), 8 partidos jugados
Rui_Patrício (RMA), 8 partidos jugados
L_Piszczek (BDO), 8 partidos jugados
Sergio_Agüero (MCI), 8 partidos jugados
M_Musacchio (BAR), 8 partidos jugados
P_Aubameyang (BDO), 8 partidos jugados
V_Kompany (MCI), 8 partidos jugados
Kevin_Trapp (PSG), 8 partidos jugados
Thiago_Silva (PSG), 8 partidos jugados
K_Schmeichel (LEI), 8 partidos jugados
Éder (INT), 7 partidos jugados
Denis_Suárez (PSG), 7 partidos jugados
Lucas (BAR), 7 partidos jugados
Nabil_Dirar (ASM), 7 partidos jugados
R_Ghezzal (LYO), 7 partidos jugados
Emerson (ROM), 7 partidos jugados
N_Sansone (VIL), 7 partidos jugados
Sadio_Mané (LIV), 7 partidos jugados
G_Paulista (OPO), 7 partidos jugados
Eric_Dier (TOT), 7 partidos jugados
Ragnar_Klavan (LIV), 7 partidos jugados
Sergi_Darder (LYO), 7 partidos jugados
Kevin_Kampl (BLE), 7 partidos jugados
A_Candreva (INT), 7 partidos jugados
D_Schwaab (PSV), 7 partidos jugados
Mau_Lemos (BMU), 7 partidos jugados
Saúl_Ñíguez (ATM), 7 partidos jugados
Iván_Marcano (NAP), 7 partidos jugados
M_van_Ginkel (PSV), 7 partidos jugados
B_Ramselaar (PSV), 7 partidos jugados
Diego_Perotti (ROM), 7 partidos jugados
Bernardeschi (NAP), 7 partidos jugados
T_Vermaelen (ROM), 7 partidos jugados
Jemerson (ASM), 7 partidos jugados
Thiago (MUN), 7 partidos jugados
J_Pastore (PSG), 7 partidos jugados
Rodrigo (VAL), 7 partidos jugados
Rafael_P (LYO), 7 partidos jugados
E_Cavani (RMA), 7 partidos jugados
N_Maksimovic (OPO), 7 partidos jugados
N_Otamendi (MCI), 7 partidos jugados
Clinton_N'Jie (OMA), 7 partidos jugados
Kieran_Gibbs (ARS), 7 partidos jugados
K-J_Huntelaar (S04), 7 partidos jugados
A_Samaris (SLB), 7 partidos jugados
S_Castillejo (ATM), 7 partidos jugados
Jorginho (NAP), 7 partidos jugados
Davy_Pröpper (PSV), 7 partidos jugados
R_Lewandowski (RMA), 7 partidos jugados
J_L_Gayà (VAL), 7 partidos jugados
Víctor_Ruiz (VIL), 7 partidos jugados
Sergio_Ramos (RMA), 7 partidos jugados
M_ter_Stegen (BAR), 7 partidos jugados
José_Callejón (NAP), 7 partidos jugados
D_Pereira (BAR), 7 partidos jugados
C_Azpilicueta (CHE), 7 partidos jugados
G_Chiellini (JUV), 7 partidos jugados
Iñigo_Mtnez (SEV), 7 partidos jugados
J_Kimmich (BMU), 7 partidos jugados
Adrien_Rabiot (PSG), 7 partidos jugados
Mariano (SEV), 7 partidos jugados
Nani (VAL), 7 partidos jugados
Granit_Xhaka (BMU), 7 partidos jugados
Enzo_Pérez (VAL), 7 partidos jugados
N_Chalobah (CHE), 7 partidos jugados
Isimat-Mirin (PSV), 7 partidos jugados
N_Castillo (PSG), 7 partidos jugados
Lichtsteiner (JUV), 7 partidos jugados
F_Totti (ROM), 7 partidos jugados
Jesús_Corona (OPO), 7 partidos jugados
Bruno_Soriano (VIL), 7 partidos jugados
Memphis_Depay (LYO), 7 partidos jugados
F_Coquelin (ARS), 7 partidos jugados
H_Bellerín (ARS), 7 partidos jugados
Koke (ATM), 7 partidos jugados
Julian_Weigl (BDO), 7 partidos jugados
Luka_Modric (RMA), 7 partidos jugados
S_Arias (PSV), 7 partidos jugados
J_Vertonghen (TOT), 7 partidos jugados
Santi_Cazorla (ARS), 7 partidos jugados
R_Palacio (INT), 7 partidos jugados
M_Brozovic (INT), 7 partidos jugados
Nolito (MCI), 7 partidos jugados
Wayne_Rooney (OPO), 7 partidos jugados
Toto_Salvio (SLB), 7 partidos jugados
O_Giroud (ARS), 7 partidos jugados
Yohann_Pelé (OMA), 7 partidos jugados
K_Mitroglou (SLB), 7 partidos jugados
Islam_Slimani (LEI), 7 partidos jugados
João_Cancelo (VAL), 7 partidos jugados
R_Varane (RMA), 7 partidos jugados
Marquinhos (PSG), 7 partidos jugados
Thiago_Motta (PSG), 7 partidos jugados
J_Mascherano (NAP), 7 partidos jugados
Á_Di_María (PSG), 7 partidos jugados
Pizzi (SLB), 7 partidos jugados
Sergio_Asenjo (VIL), 7 partidos jugados
Alex_Sandro (MUN), 7 partidos jugados
A_Laporte (NIC), 7 partidos jugados
Atsuto_Uchida (MIL), 7 partidos jugados
Keisuke_Honda (MIL), 7 partidos jugados
Suso (MIL), 7 partidos jugados
Carlos_Vela (SEV), 7 partidos jugados
Nabil_Fekir (LYO), 7 partidos jugados
Kamil_Glik (ASM), 7 partidos jugados
Niklas_Süle (NIC), 7 partidos jugados
C_Ronaldo (RMA), 7 partidos jugados
F_Fazio (ROM), 7 partidos jugados
D_Carvajal (RMA), 7 partidos jugados
Isco (RMA), 7 partidos jugados
André_Gomes (BAR), 7 partidos jugados
K_Bellarabi (BLE), 7 partidos jugados
M_Balotelli (NIC), 7 partidos jugados
E_Garay (VAL), 7 partidos jugados
A_Isak (AJX), 7 partidos jugados
Éver_Banega (INT), 7 partidos jugados
Raúl_Albiol (NAP), 7 partidos jugados
G_Mercado (SEV), 7 partidos jugados
Toni_Kroos (RMA), 7 partidos jugados
Ivan_Perisic (INT), 7 partidos jugados
W_Carvalho (MUN), 7 partidos jugados
L_Kurzawa (PSG), 7 partidos jugados
Marcelo (RMA), 7 partidos jugados
Gary_Cahill (CHE), 7 partidos jugados
Nélson_Semedo (SLB), 7 partidos jugados
J_dos_Santos (VIL), 7 partidos jugados
G_dos_Santos (VIL), 7 partidos jugados
M_Trigueros (VIL), 7 partidos jugados
R_Soriano (VIL), 7 partidos jugados
Sokratis (BDO), 7 partidos jugados
Mario_Götze (BDO), 7 partidos jugados
L_Insigne (NAP), 7 partidos jugados
T_Hazard (VIL), 7 partidos jugados
Marco_Reus (BDO), 7 partidos jugados
J_Rodríguez (PSG), 7 partidos jugados
C_Ansaldi (INT), 7 partidos jugados
Dani_Parejo (VAL), 7 partidos jugados
Mohamed_Salah (ROM), 7 partidos jugados
E_Mammana (LYO), 7 partidos jugados
Jérémy_Morel (LYO), 7 partidos jugados
C_Tolisso (LYO), 7 partidos jugados
A_Williams (EVE), 7 partidos jugados
Romelu_Lukaku (EVE), 7 partidos jugados
Z_Ibrahimovic (PSG), 7 partidos jugados
Jardel (SLB), 7 partidos jugados
Diogo_Jota (BMU), 6 partidos jugados
C_Aránguiz (BLE), 6 partidos jugados
André_Silva (JUV), 6 partidos jugados
C_Maggio (NAP), 6 partidos jugados
Phil_Jones (MUN), 6 partidos jugados
C_Kramer (S04), 6 partidos jugados
Gabriel_Jesus (MCI), 6 partidos jugados
C_Musonda (CHE), 6 partidos jugados
B_Henrichs (BLE), 6 partidos jugados
Marek_Hamsik (MUN), 6 partidos jugados
M_Rashford (MUN), 6 partidos jugados
Allan (NAP), 6 partidos jugados
P_Zielinski (NAP), 6 partidos jugados
Maxwel_Cornet (LYO), 6 partidos jugados
L_Paredes (ROM), 6 partidos jugados
Rafinha (OPO), 6 partidos jugados
Rafa_Silva (SLB), 6 partidos jugados
G_Higuaín (JUV), 6 partidos jugados
Rúben_Neves (BMU), 6 partidos jugados
Almamy_Touré (ASM), 6 partidos jugados
M_El_Haddadi (VAL), 6 partidos jugados
C_Grenier (ROM), 6 partidos jugados
Danny_Welbeck (ARS), 6 partidos jugados
Paco_Alcácer (OPO), 6 partidos jugados
M_Sissoko (TOT), 6 partidos jugados
Mário_Rui (ROM), 6 partidos jugados
Patrice_Evra (OMA), 6 partidos jugados
W_Vainqueur (OMA), 6 partidos jugados
Mauro_Icardi (INT), 6 partidos jugados
Medhi_Benatia (JUV), 6 partidos jugados
John_Stones (MCI), 6 partidos jugados
Nacho_Monreal (ATM), 6 partidos jugados
Willian (CHE), 6 partidos jugados
Thomas (VIL), 6 partidos jugados
Maxime_López (OMA), 6 partidos jugados
G_Sertic (OMA), 6 partidos jugados
L_Bonucci (JUV), 6 partidos jugados
Jamie_Vardy (LEI), 6 partidos jugados
Dante (NIC), 6 partidos jugados
M_Debuchy (LEI), 6 partidos jugados
B_Höwedes (S04), 6 partidos jugados
Kai_Havertz (AJX), 6 partidos jugados
Jonathan_Tah (BLE), 6 partidos jugados
C_Immobile (TOT), 6 partidos jugados
Miranda (INT), 6 partidos jugados
Joe_Gomez (LIV), 6 partidos jugados
M_Diakhaby (LYO), 6 partidos jugados
S_Escudero (SEV), 6 partidos jugados
Gabriel_B (INT), 6 partidos jugados
M_Nastasic (S04), 6 partidos jugados
Leon_Goretzka (S04), 6 partidos jugados
Pedro (CHE), 6 partidos jugados
Karim_Benzema (MUN), 6 partidos jugados
Juanfran (ATM), 6 partidos jugados
Kevin_Wimmer (TOT), 6 partidos jugados
Maciej_Rybus (LYO), 6 partidos jugados
Bruno_Peres (ROM), 6 partidos jugados
Jesse_Lingard (PSG), 6 partidos jugados
Y_Konoplyanka (S04), 6 partidos jugados
R_Pereira (NIC), 6 partidos jugados
A_Rahman_Baba (S04), 6 partidos jugados
O_Boscagli (AJX), 6 partidos jugados
Yaya_Touré (MCI), 6 partidos jugados
Jetro_Willems (PSV), 6 partidos jugados
Érik_Lamela (TOT), 6 partidos jugados
Pedro_Pereira (AJX), 6 partidos jugados
Y_Brahimi (OPO), 6 partidos jugados
Álvaro_Morata (RMA), 6 partidos jugados
J_Locadia (PSV), 6 partidos jugados
Kenny_Tete (BAR), 6 partidos jugados
Alex_Telles (OPO), 6 partidos jugados
H_Mkhitaryan (MUN), 6 partidos jugados
B_Matuidi (PSG), 6 partidos jugados
N_Mendy (LEI), 6 partidos jugados
Simone_Zaza (VAL), 6 partidos jugados
A_Nouri (AJX), 6 partidos jugados
Riyah_Mahrez (LEI), 6 partidos jugados
Elseid_Hysaj (MUN), 6 partidos jugados
Serge_Aurier (PSG), 6 partidos jugados
José_Ángel (VIL), 6 partidos jugados
B_Mendy (ASM), 6 partidos jugados
Chicharito (CHE), 6 partidos jugados
José_Giménez (ATM), 6 partidos jugados
J_Cillessen (BAR), 6 partidos jugados
Rolando (OMA), 6 partidos jugados
Ömer_Toprak (BLE), 6 partidos jugados
S_N'Zonzi (SEV), 6 partidos jugados
Vitolo (SEV), 6 partidos jugados
C_Smalling (JUV), 6 partidos jugados
C_Bakambu (VIL), 6 partidos jugados
Jorge_Meré (AJX), 6 partidos jugados
M_Locatelli (AJX), 6 partidos jugados
J_Kluivert (AJX), 6 partidos jugados
T_Bakayoko (ASM), 6 partidos jugados
K_Koulibaly (NAP), 6 partidos jugados
T_Hernández (NIC), 6 partidos jugados
Jean_M_Seri (NIC), 6 partidos jugados
Y_Belhanda (NIC), 6 partidos jugados
Wylan_Cyprien (NIC), 6 partidos jugados
V_Koziello (NIC), 6 partidos jugados
Alassane_Pléa (NIC), 6 partidos jugados
Maxi_Pereira (OPO), 6 partidos jugados
S_Jovetic (SEV), 6 partidos jugados
Malang_Sarr (AJX), 6 partidos jugados
Leandrinho (AJX), 6 partidos jugados
D_Rugani (JUV), 6 partidos jugados
Coke (S04), 6 partidos jugados
Schwensteiger (S04), 6 partidos jugados
A_Grimaldo (SLB), 6 partidos jugados
Mario_Suárez (VAL), 6 partidos jugados
X_Shaqiri (BDO), 6 partidos jugados
João_Mário (INT), 6 partidos jugados
A_Rüdiger (ROM), 6 partidos jugados
Naldo (S04), 6 partidos jugados
David_Luiz (CHE), 6 partidos jugados
F_Ghoulam (NAP), 6 partidos jugados
Mario_Gaspar (VIL), 6 partidos jugados
A_Barzagli (JUV), 6 partidos jugados
Ander_Herrera (NAP), 6 partidos jugados
Rod_Fanni (OMA), 6 partidos jugados
Morgan_Sanson (OMA), 6 partidos jugados
B_Gomis (OMA), 6 partidos jugados
Nacho_F (OPO), 6 partidos jugados
Felipe (OPO), 6 partidos jugados
Jesús_Vallejo (OPO), 6 partidos jugados
Hugo_Mallo (LEI), 6 partidos jugados
Robert_Huth (LEI), 6 partidos jugados
S_Coleman (EVE), 6 partidos jugados
Phil_Jagielka (EVE), 6 partidos jugados
Y_Bolasie (EVE), 6 partidos jugados
C_Fuchs (LEI), 6 partidos jugados
John_Terry (CHE), 6 partidos jugados
Kurt_Zouma (CHE), 6 partidos jugados
André_Almeida (SLB), 6 partidos jugados
L_López (SLB), 6 partidos jugados
Rafinha_Alc (BAR), 5 partidos jugados
Stefan_Savic (ATM), 5 partidos jugados
Leo_Baptistão (LIV), 5 partidos jugados
Houssem_Aouar (LYO), 5 partidos jugados
Loftus-Cheek (CHE), 5 partidos jugados
Marco_Benassi (LIV), 5 partidos jugados
V_Germain (ASM), 5 partidos jugados
Victor_Moses (CHE), 5 partidos jugados
J_Biabiany (INT), 5 partidos jugados
Ángel_Correa (ATM), 5 partidos jugados
Sergi_Roberto (BAR), 5 partidos jugados
Óliver_Torres (BMU), 5 partidos jugados
V_Wanyama (TOT), 5 partidos jugados
Theo_Walcott (ARS), 5 partidos jugados
D_Cheryshev (MUN), 5 partidos jugados
Otávio (OPO), 5 partidos jugados
Max_Meyer (S04), 5 partidos jugados
Samuel_Umtiti (ATM), 5 partidos jugados
Pepe_Reina (NAP), 5 partidos jugados
R_Soldado (VIL), 5 partidos jugados
Tin_Jedvaj (BLE), 5 partidos jugados
R_Funes_Mori (EVE), 5 partidos jugados
E_Giaccherini (NAP), 5 partidos jugados
Matías_Britos (PSG), 5 partidos jugados
J_Pohjanpalo (BLE), 5 partidos jugados
A_Milik (NAP), 5 partidos jugados
Asmir_Begovic (CHE), 5 partidos jugados
J_Draxler (RMA), 5 partidos jugados
Illarramendi (ARS), 5 partidos jugados
P_Mertesacker (ARS), 5 partidos jugados
Danilo (RMA), 5 partidos jugados
Johannes_Geis (S04), 5 partidos jugados
F_de_Jong (AJX), 5 partidos jugados
Abdou_Diallo (ASM), 5 partidos jugados
Andrés_Fdez (VIL), 5 partidos jugados
A_Abdennour (VAL), 5 partidos jugados
J_Gallardo (VIL), 5 partidos jugados
Daley_Blind (CHE), 5 partidos jugados
W_Ben_Yedder (SEV), 5 partidos jugados
G_Kondogbia (INT), 5 partidos jugados
Ashley_Young (LEI), 5 partidos jugados
A_Dragovic (BLE), 5 partidos jugados
Josip_Brekalo (AJX), 5 partidos jugados
Rémy_Cabella (OMA), 5 partidos jugados
Ganso (SEV), 5 partidos jugados
Lucas_Pérez (LEI), 5 partidos jugados
Tiago (ATM), 5 partidos jugados
A_Valencia (MUN), 5 partidos jugados
M_Fernández (OPO), 5 partidos jugados
F_Passlack (AJX), 5 partidos jugados
C_C-Vickers (AJX), 5 partidos jugados
Dani_Alves (JUV), 5 partidos jugados
G_Krychowiak (RMA), 5 partidos jugados
Joël_Veltman (AJX), 5 partidos jugados
M_de_Ligt (AJX), 5 partidos jugados
T_Fosu-Mensah (AJX), 5 partidos jugados
D_van_de_Beek (AJX), 5 partidos jugados
K_Dolberg (AJX), 5 partidos jugados
L_Martínez (AJX), 5 partidos jugados
M_Pjanic (JUV), 5 partidos jugados
Lucas_Tousart (LYO), 5 partidos jugados
Jonas (SLB), 5 partidos jugados
Kenedy (CHE), 5 partidos jugados
Davide_Santon (INT), 5 partidos jugados
Yuto_Nagatomo (INT), 5 partidos jugados
T_Sainsbury (INT), 5 partidos jugados
V_Chiriches (BAR), 5 partidos jugados
Siem_de_Jong (PSV), 5 partidos jugados
Lucas_Digne (BAR), 5 partidos jugados
V_Iborra (SEV), 5 partidos jugados
Aleix_Vidal (BAR), 5 partidos jugados
F_Vázquez (SEV), 5 partidos jugados
C_Marchisio (JUV), 5 partidos jugados
Nathan_Aké (CHE), 5 partidos jugados
Wes_Morgan (LEI), 5 partidos jugados
I_Williams (LEI), 5 partidos jugados
D_Criscito (NAP), 5 partidos jugados
Dani_Ceballos (LEI), 5 partidos jugados
M_Andreolli (INT), 5 partidos jugados
D_D'Ambrosio (INT), 5 partidos jugados
R_Gagliardini (INT), 5 partidos jugados
Dória (OMA), 5 partidos jugados
Danny_Simpson (LEI), 5 partidos jugados
Molla_Wague (LEI), 5 partidos jugados
Y_Benalouane (LEI), 5 partidos jugados
Renato_S (LEI), 5 partidos jugados
Gustavo_Gómez (SLB), 5 partidos jugados
Maxwell (PSG), 5 partidos jugados
Mateo_Kovacic (RMA), 5 partidos jugados
B_Trémoulinas (SEV), 5 partidos jugados
Alessio_Cerci (VIL), 5 partidos jugados
Henri_Bedimo (OMA), 5 partidos jugados
M_Montoya (VAL), 5 partidos jugados
F_Augusto (SLB), 5 partidos jugados
D_Sinkgraven (SLB), 5 partidos jugados
V_Yurchenko (BLE), 4 partidos jugados
M_Fellaini (MUN), 4 partidos jugados
J-K_Augustin (PSG), 4 partidos jugados
V_Janssen (TOT), 4 partidos jugados
G-K_N'Koudou (TOT), 4 partidos jugados
H_Ben_Arfa (PSG), 4 partidos jugados
M_Dahoud (LIV), 4 partidos jugados
Sam_Lammers (PSV), 4 partidos jugados
Marko_Pjaca (JUV), 4 partidos jugados
Z_Machach (OMA), 4 partidos jugados
A_Z_Anguissa (OMA), 4 partidos jugados
Wendell (BLE), 4 partidos jugados
Jordy_Gaspar (LYO), 4 partidos jugados
Menno_Koch (PSV), 4 partidos jugados
L_Hernández (ARS), 4 partidos jugados
Jorge (ASM), 4 partidos jugados
R_Betancur (BAR), 4 partidos jugados
V_Lindelöf (MIL), 4 partidos jugados
Dennis_Aogo (S04), 4 partidos jugados
Ignazio_Abate (MIL), 4 partidos jugados
Juan_Jesus (ROM), 4 partidos jugados
S_Bergwijn (PSV), 4 partidos jugados
Choupo-Moting (S04), 4 partidos jugados
Idrissa_Gueye (EVE), 4 partidos jugados
Franco_Cervi (SLB), 4 partidos jugados
Sergio_Romero (MUN), 4 partidos jugados
Karim_Rekik (OMA), 4 partidos jugados
Abou_Diaby (OMA), 4 partidos jugados
Mason_Holgate (EVE), 4 partidos jugados
Hiroki_Sakai (OMA), 4 partidos jugados
Á_González (VIL), 4 partidos jugados
O-Chamberlain (ARS), 4 partidos jugados
A_Schöpf (S04), 4 partidos jugados
S_Kolasinac (S04), 4 partidos jugados
J_Mathieu (BAR), 4 partidos jugados
David_Ospina (ARS), 4 partidos jugados
M_Yanga-Mbiwa (LYO), 4 partidos jugados
André_Horta (SLB), 4 partidos jugados
Luke_Garbutt (EVE), 4 partidos jugados
A_Santos (VAL), 4 partidos jugados
G_Paletta (MIL), 4 partidos jugados
Andrea_Raggi (ASM), 4 partidos jugados
N_Pareja (SEV), 4 partidos jugados
H_Badstuber (S04), 4 partidos jugados
Nemanja_Matic (MUN), 4 partidos jugados
M_Hermes (SLB), 4 partidos jugados
Ramazan_Özcan (BLE), 4 partidos jugados
R_Montolivo (MIL), 4 partidos jugados
A_Bertolacci (MIL), 4 partidos jugados
Paul_Baysse (NIC), 4 partidos jugados
V_Eysseric (NIC), 4 partidos jugados
Rémi_Walter (NIC), 4 partidos jugados
A_Lusamba (NIC), 4 partidos jugados
M_Le_Bihan (NIC), 4 partidos jugados
A_Donis (NIC), 4 partidos jugados
Marc_Bartra (BDO), 4 partidos jugados
Julian_Brandt (BLE), 4 partidos jugados
Gabi (ATM), 4 partidos jugados
N_N'Koulou (LYO), 4 partidos jugados
Jordan_Ferri (LYO), 4 partidos jugados
