R_Hilbert (BLE), 9 partidos como suplente
M_Carrick (CHE), 3 partidos como suplente
Luuk_de_Jong (PSV), 3 partidos como suplente
Breel_Embolo (S04), 3 partidos como suplente
Lucas_Ocampos (SLB), 3 partidos como suplente
F_Thauvin (OMA), 3 partidos como suplente
Leroy_Sané (MCI), 3 partidos como suplente
Douglas_Costa (BMU), 3 partidos como suplente
M_Verratti (BMU), 3 partidos como suplente
Ahmed_Musa (BAR), 2 partidos como suplente
Mario_Gómez (LIB), 2 partidos como suplente
J_Doménech (VAL), 2 partidos como suplente
Bruno_M_Indi (LIB), 2 partidos como suplente
Eloge_Yao (INT), 2 partidos como suplente
C_Randall (LIV), 2 partidos como suplente
Fernando (MCI), 2 partidos como suplente
G_Carrillo (ASM), 2 partidos como suplente
D_C-Lewin (EVE), 2 partidos como suplente
M_Ángel_Moyá (ATM), 2 partidos como suplente
K_Iheanacho (MCI), 2 partidos como suplente
Mario_Lemina (JUV), 2 partidos como suplente
Stefan_Savic (ATM), 2 partidos como suplente
Menno_Koch (PSV), 2 partidos como suplente
L_Hernández (ARS), 2 partidos como suplente
C_Maggio (NAP), 2 partidos como suplente
Juan_Jesus (ROM), 2 partidos como suplente
Phil_Jones (MUN), 2 partidos como suplente
V_Germain (ASM), 2 partidos como suplente
C_Kramer (S04), 2 partidos como suplente
Victor_Moses (CHE), 2 partidos como suplente
Gabriel_Jesus (MCI), 2 partidos como suplente
Marek_Hamsik (MUN), 2 partidos como suplente
M_Rashford (MUN), 2 partidos como suplente
Samuel_Umtiti (ATM), 2 partidos como suplente
Rafa_Silva (SLB), 2 partidos como suplente
Rúben_Neves (BMU), 2 partidos como suplente
M_El_Haddadi (VAL), 2 partidos como suplente
Danny_Welbeck (ARS), 2 partidos como suplente
Paco_Alcácer (OPO), 2 partidos como suplente
M_Sissoko (TOT), 2 partidos como suplente
Eric_Dier (TOT), 2 partidos como suplente
Ragnar_Klavan (LIV), 2 partidos como suplente
John_Stones (MCI), 2 partidos como suplente
Maxime_López (OMA), 2 partidos como suplente
Heung-Min_Son (TOT), 2 partidos como suplente
Joe_Gomez (LIV), 2 partidos como suplente
Mau_Lemos (BMU), 2 partidos como suplente
Saúl_Ñíguez (ATM), 2 partidos como suplente
Iván_Marcano (NAP), 2 partidos como suplente
Santi_Mina (VAL), 2 partidos como suplente
B_Ramselaar (PSV), 2 partidos como suplente
Marcos_Rojo (MUN), 2 partidos como suplente
J_Hendrix (PSV), 2 partidos como suplente
Luis_Suárez (JUV), 2 partidos como suplente
E_Cavani (RMA), 2 partidos como suplente
J_L_Gayà (VAL), 2 partidos como suplente
Cesc_Fàbregas (CHE), 2 partidos como suplente
D_Drinkwater (CHE), 2 partidos como suplente
Casemiro (RMA), 2 partidos como suplente
Carlos_Soler (VAL), 2 partidos como suplente
F_Totti (ROM), 2 partidos como suplente
J_McCarthy (EVE), 2 partidos como suplente
Miguel_Layún (BMU), 2 partidos como suplente
K_Strootman (ROM), 2 partidos como suplente
K_Manolas (ROM), 2 partidos como suplente
Juan_Cuadrado (MUN), 2 partidos como suplente
K_Mirallas (EVE), 2 partidos como suplente
H_Herrera (OPO), 2 partidos como suplente
Edin_Dzeko (ROM), 2 partidos como suplente
Mats_Hummels (BMU), 2 partidos como suplente
K_Coman (BMU), 2 partidos como suplente
Dries_Mertens (NAP), 2 partidos como suplente
Kevin_Volland (BLE), 2 partidos como suplente
A_Lacazette (LYO), 2 partidos como suplente
S_El_Shaarawy (ROM), 2 partidos como suplente
L_Fejsa (SLB), 2 partidos como suplente
Gerard_Piqué (BAR), 2 partidos como suplente
Lionel_Messi (BAR), 2 partidos como suplente
David_Soria (SEV), 1 partidos como suplente
Marco_Storari (MIL), 1 partidos como suplente
Duván_Zapata (LIB), 1 partidos como suplente
Ola_Aina (CHE), 1 partidos como suplente
M_Cauteruccio (LIB), 1 partidos como suplente
W_Caballero (MCI), 1 partidos como suplente
D_da_Costa (BLE), 1 partidos como suplente
A_Rabillard (OMA), 1 partidos como suplente
N_Viergever (AJX), 1 partidos como suplente
S_Magnasco (LIB), 1 partidos como suplente
P_Olkowski (LIB), 1 partidos como suplente
L_Teodorczyk (LIB), 1 partidos como suplente
D_Cotterill (LIB), 1 partidos como suplente
J_Riedewald (BDO), 1 partidos como suplente
Gaëtan_Perrin (LYO), 1 partidos como suplente
Chris_Gunter (LIB), 1 partidos como suplente
G_Fernandes (LIB), 1 partidos como suplente
Tom_Lawrence (LIB), 1 partidos como suplente
V_Stocker (LIB), 1 partidos como suplente
Jesús_Navas (MCI), 1 partidos como suplente
J-P_Mateta (LYO), 1 partidos como suplente
Timo_Werner (RMA), 1 partidos como suplente
Jason_Denayer (LIB), 1 partidos como suplente
Alisson (ROM), 1 partidos como suplente
F_Di_Santo (S04), 1 partidos como suplente
M_Torres (LIB), 1 partidos como suplente
Divock_Origi (LIV), 1 partidos como suplente
Éder_Balanta (LIB), 1 partidos como suplente
Emre_Can (LIV), 1 partidos como suplente
F_Grillitsch (LIB), 1 partidos como suplente
N_Kalinic (LIB), 1 partidos como suplente
Josip_Drmic (LIB), 1 partidos como suplente
Ched_Evans (LIB), 1 partidos como suplente
S_Rode (BDO), 1 partidos como suplente
L_Ulloa (LEI), 1 partidos como suplente
S_Mignolet (LIV), 1 partidos como suplente
Nuri_Sahin (BDO), 1 partidos como suplente
Sam_Lammers (PSV), 1 partidos como suplente
Marko_Pjaca (JUV), 1 partidos como suplente
A_Diawara (NAP), 1 partidos como suplente
F_Soares (OPO), 1 partidos como suplente
G_Boschilia (ASM), 1 partidos como suplente
R-P_Lundqvist (PSV), 1 partidos como suplente
A_Z_Anguissa (OMA), 1 partidos como suplente
G_Castro (BDO), 1 partidos como suplente
Brice_Samba (OMA), 1 partidos como suplente
Jordy_Gaspar (LYO), 1 partidos como suplente
M_Gorgelin (LYO), 1 partidos como suplente
R_Betancur (BAR), 1 partidos como suplente
S_Bergwijn (PSV), 1 partidos como suplente
Idrissa_Gueye (EVE), 1 partidos como suplente
Franco_Cervi (SLB), 1 partidos como suplente
Sergio_Romero (MUN), 1 partidos como suplente
Á_González (VIL), 1 partidos como suplente
O-Chamberlain (ARS), 1 partidos como suplente
A_Schöpf (S04), 1 partidos como suplente
David_Ospina (ARS), 1 partidos como suplente
M_Yanga-Mbiwa (LYO), 1 partidos como suplente
J_Biabiany (INT), 1 partidos como suplente
Ángel_Correa (ATM), 1 partidos como suplente
Sergi_Roberto (BAR), 1 partidos como suplente
Óliver_Torres (BMU), 1 partidos como suplente
V_Wanyama (TOT), 1 partidos como suplente
D_Cheryshev (MUN), 1 partidos como suplente
Allan (NAP), 1 partidos como suplente
G_Siqueira (VAL), 1 partidos como suplente
P_Zielinski (NAP), 1 partidos como suplente
Otávio (OPO), 1 partidos como suplente
Maxwel_Cornet (LYO), 1 partidos como suplente
Max_Meyer (S04), 1 partidos como suplente
Pepe_Reina (NAP), 1 partidos como suplente
R_Soldado (VIL), 1 partidos como suplente
L_Paredes (ROM), 1 partidos como suplente
R_Funes_Mori (EVE), 1 partidos como suplente
E_Giaccherini (NAP), 1 partidos como suplente
Matías_Britos (PSG), 1 partidos como suplente
G_Higuaín (JUV), 1 partidos como suplente
J_Pohjanpalo (BLE), 1 partidos como suplente
Asmir_Begovic (CHE), 1 partidos como suplente
J_Draxler (RMA), 1 partidos como suplente
Illarramendi (ARS), 1 partidos como suplente
P_Mertesacker (ARS), 1 partidos como suplente
Danilo (RMA), 1 partidos como suplente
Johannes_Geis (S04), 1 partidos como suplente
Almamy_Touré (ASM), 1 partidos como suplente
Abdou_Diallo (ASM), 1 partidos como suplente
Andrés_Fdez (VIL), 1 partidos como suplente
J_Gallardo (VIL), 1 partidos como suplente
W_Ben_Yedder (SEV), 1 partidos como suplente
A_Dragovic (BLE), 1 partidos como suplente
Patrice_Evra (OMA), 1 partidos como suplente
G_Paulista (OPO), 1 partidos como suplente
Mauro_Icardi (INT), 1 partidos como suplente
Medhi_Benatia (JUV), 1 partidos como suplente
A_Valencia (MUN), 1 partidos como suplente
Nacho_Monreal (ATM), 1 partidos como suplente
Dani_Alves (JUV), 1 partidos como suplente
Thomas (VIL), 1 partidos como suplente
G_Sertic (OMA), 1 partidos como suplente
Dante (NIC), 1 partidos como suplente
Dória (OMA), 1 partidos como suplente
A_Candreva (INT), 1 partidos como suplente
D_Schwaab (PSV), 1 partidos como suplente
Gabriel_B (INT), 1 partidos como suplente
M_Nastasic (S04), 1 partidos como suplente
Pedro (CHE), 1 partidos como suplente
M_van_Ginkel (PSV), 1 partidos como suplente
Kevin_Wimmer (TOT), 1 partidos como suplente
Maciej_Rybus (LYO), 1 partidos como suplente
Diego_Perotti (ROM), 1 partidos como suplente
Álvaro_Morata (RMA), 1 partidos como suplente
Alex_Telles (OPO), 1 partidos como suplente
Bernardeschi (NAP), 1 partidos como suplente
T_Vermaelen (ROM), 1 partidos como suplente
B_Matuidi (PSG), 1 partidos como suplente
Jemerson (ASM), 1 partidos como suplente
Rodrigo (VAL), 1 partidos como suplente
Rafael_P (LYO), 1 partidos como suplente
José_Ángel (VIL), 1 partidos como suplente
Kylian_Mbappé (ASM), 1 partidos como suplente
J_Cillessen (BAR), 1 partidos como suplente
Rolando (OMA), 1 partidos como suplente
Kieran_Gibbs (ARS), 1 partidos como suplente
S_Castillejo (ATM), 1 partidos como suplente
Jorginho (NAP), 1 partidos como suplente
Davy_Pröpper (PSV), 1 partidos como suplente
Víctor_Ruiz (VIL), 1 partidos como suplente
José_Callejón (NAP), 1 partidos como suplente
D_Pereira (BAR), 1 partidos como suplente
G_Chiellini (JUV), 1 partidos como suplente
Iñigo_Mtnez (SEV), 1 partidos como suplente
J_Kimmich (BMU), 1 partidos como suplente
Granit_Xhaka (BMU), 1 partidos como suplente
Arda_Turan (JUV), 1 partidos como suplente
N_Chalobah (CHE), 1 partidos como suplente
Isimat-Mirin (PSV), 1 partidos como suplente
N_Castillo (PSG), 1 partidos como suplente
K_De_Bruyne (MCI), 1 partidos como suplente
Lichtsteiner (JUV), 1 partidos como suplente
Jesús_Corona (OPO), 1 partidos como suplente
Kévin_Gameiro (ATM), 1 partidos como suplente
Fernandinho (MCI), 1 partidos como suplente
Memphis_Depay (LYO), 1 partidos como suplente
G_Pereiro (PSV), 1 partidos como suplente
H_Bellerín (ARS), 1 partidos como suplente
Nico_Gaitán (ATM), 1 partidos como suplente
Luka_Modric (RMA), 1 partidos como suplente
S_Arias (PSV), 1 partidos como suplente
R_Palacio (INT), 1 partidos como suplente
M_Brozovic (INT), 1 partidos como suplente
K_Mitroglou (SLB), 1 partidos como suplente
Bacary_Sagna (MCI), 1 partidos como suplente
M_Mandzukic (OPO), 1 partidos como suplente
Islam_Slimani (LEI), 1 partidos como suplente
João_Cancelo (VAL), 1 partidos como suplente
Dele_Alli (TOT), 1 partidos como suplente
Pizzi (SLB), 1 partidos como suplente
A_Laporte (NIC), 1 partidos como suplente
Franck_Ribéry (LEI), 1 partidos como suplente
R_Sterling (MCI), 1 partidos como suplente
F_Fazio (ROM), 1 partidos como suplente
Xabi_Alonso (OPO), 1 partidos como suplente
James_Milner (LIV), 1 partidos como suplente
Bernard (NAP), 1 partidos como suplente
V_van_Dijk (TOT), 1 partidos como suplente
Mousa_Dembélé (TOT), 1 partidos como suplente
Kyle_Walker (TOT), 1 partidos como suplente
Marco_Asensio (RMA), 1 partidos como suplente
Héctor_Moreno (PSV), 1 partidos como suplente
Lucas_Vazquez (OPO), 1 partidos como suplente
Dani_Parejo (VAL), 1 partidos como suplente
S_Busquets (BAR), 1 partidos como suplente
Eden_Hazard (CHE), 1 partidos como suplente
T_Meunier (PSG), 1 partidos como suplente
Admir_Mehmedi (BLE), 1 partidos como suplente
J_Boateng (BMU), 1 partidos como suplente
A_Fernández (ATM), 1 partidos como suplente
Samir_Nasri (SEV), 1 partidos como suplente
Ross_Barkley (EVE), 1 partidos como suplente
Javi_Martínez (ARS), 1 partidos como suplente
H_Calhanoglu (BLE), 1 partidos como suplente
D_De_Rossi (ROM), 1 partidos como suplente
David_Silva (MCI), 1 partidos como suplente
Diego_Costa (CHE), 1 partidos como suplente
A_Schürrle (BDO), 1 partidos como suplente
A_Guardado (PSV), 1 partidos como suplente
A_Iniesta (BAR), 1 partidos como suplente
L_Baines (EVE), 1 partidos como suplente
Ó_de_Marcos (VIL), 1 partidos como suplente
Falcao (MUN), 1 partidos como suplente
R_Guerreiro (BDO), 1 partidos como suplente
M_Valbuena (LYO), 1 partidos como suplente
I_Güngogan (MCI), 1 partidos como suplente
P_Zabaleta (MCI), 1 partidos como suplente
Harry_Kane (TOT), 1 partidos como suplente
Philipp_Lahm (BMU), 1 partidos como suplente
F_Orellana (VAL), 1 partidos como suplente
M_Gonalons (LYO), 1 partidos como suplente
Pepe (RMA), 1 partidos como suplente
A_Florenzi (ROM), 1 partidos como suplente
Paul_Pogba (BMU), 1 partidos como suplente
J_Murillo (INT), 1 partidos como suplente
Thomas_Müller (ASM), 1 partidos como suplente
Aaron_Ramsey (ARS), 1 partidos como suplente
Lucas_Biglia (ATM), 1 partidos como suplente
Thomas_Lemar (ASM), 1 partidos como suplente
J_Henderson (LIV), 1 partidos como suplente
Lars_Bender (BLE), 1 partidos como suplente
A_Sánchez (ARS), 1 partidos como suplente
Dejan_Lovren (LIV), 1 partidos como suplente
M_Darmian (NAP), 1 partidos como suplente
Gareth_Bale (BMU), 1 partidos como suplente
S_Mustafi (ARS), 1 partidos como suplente
Neymar (BAR), 1 partidos como suplente
W_Szczesny (ROM), 0 partidos como suplente
N'Golo_Kanté (CHE), 0 partidos como suplente
D_Subasic (ASM), 0 partidos como suplente
Claudio_Bravo (MCI), 0 partidos como suplente
Roman_Bürki (BDO), 0 partidos como suplente
Hugo_Lloris (TOT), 0 partidos como suplente
David_Alaba (BMU), 0 partidos como suplente
Anthony_Lopes (LYO), 0 partidos como suplente
G_Buffon (JUV), 0 partidos como suplente
Loris_Karius (LIV), 0 partidos como suplente
Alban_Lafont (AJX), 0 partidos como suplente
Diego_Alves (VAL), 0 partidos como suplente
S_Handanovic (INT), 0 partidos como suplente
Ederson (SLB), 0 partidos como suplente
S_Kiebling (BLE), 0 partidos como suplente
Sami_Khedira (JUV), 0 partidos como suplente
A_Moreno (LIV), 0 partidos como suplente
A_Griezmann (ATM), 0 partidos como suplente
G_Donnarumma (MIL), 0 partidos como suplente
Jan_Oblak (ATM), 0 partidos como suplente
Manuel_Neuer (BMU), 0 partidos como suplente
David_de_Gea (MUN), 0 partidos como suplente
Y_Cardinale (NIC), 0 partidos como suplente
Ralf_Fährmann (S04), 0 partidos como suplente
Jeroen_Zoet (PSV), 0 partidos como suplente
Sergio_Rico (SEV), 0 partidos como suplente
R_Firmino (LIV), 0 partidos como suplente
Danny_Rose (TOT), 0 partidos como suplente
P_Coutinho (LIV), 0 partidos como suplente
Alderweireld (TOT), 0 partidos como suplente
L_Koscielny (ARS), 0 partidos como suplente
Petr_Cech (ARS), 0 partidos como suplente
Bernd_Leno (BLE), 0 partidos como suplente
Joel_Robles (EVE), 0 partidos como suplente
Gary_Medel (INT), 0 partidos como suplente
E_Mangala (VAL), 0 partidos como suplente
C_Eriksen (TOT), 0 partidos como suplente
B_Silva (ASM), 0 partidos como suplente
T_Courtois (CHE), 0 partidos como suplente
Miguel_Veloso (OPO), 0 partidos como suplente
D_Sturridge (LIV), 0 partidos como suplente
Schneiderlin (EVE), 0 partidos como suplente
Diego_Godín (ATM), 0 partidos como suplente
Eric_Bailly (MUN), 0 partidos como suplente
D_Sidibé (ASM), 0 partidos como suplente
Ivan_Rakitic (BAR), 0 partidos como suplente
M_Schmelzer (BDO), 0 partidos como suplente
Mesut_Özil (ARS), 0 partidos como suplente
G_Wijnaldum (LIV), 0 partidos como suplente
Joel_Matip (LIV), 0 partidos como suplente
R_Nainggolan (ROM), 0 partidos como suplente
G_Rulli (OPO), 0 partidos como suplente
O_Dembélé (BDO), 0 partidos como suplente
Y_Carrasco (ATM), 0 partidos como suplente
G_Deulofeu (MIL), 0 partidos como suplente
Filipe_Luís (ATM), 0 partidos como suplente
Dimitri_Payet (OMA), 0 partidos como suplente
Jaume_Costa (VIL), 0 partidos como suplente
Fabinho (ASM), 0 partidos como suplente
Arturo_Vidal (PSG), 0 partidos como suplente
Mattia_Perin (NAP), 0 partidos como suplente
A_Romagnoli (MIL), 0 partidos como suplente
M_De_Sciglio (MIL), 0 partidos como suplente
G_Bonaventura (MIL), 0 partidos como suplente
Andrea_Pirlo (MIL), 0 partidos como suplente
João_Moutinho (ASM), 0 partidos como suplente
R_Rodríguez (MIL), 0 partidos como suplente
N_Clyne (LIV), 0 partidos como suplente
Adam_Lallana (LIV), 0 partidos como suplente
Jordi_Alba (BAR), 0 partidos como suplente
Carlos_Bacca (MIL), 0 partidos como suplente
Rui_Patrício (RMA), 0 partidos como suplente
L_Piszczek (BDO), 0 partidos como suplente
Sergio_Agüero (MCI), 0 partidos como suplente
M_Musacchio (BAR), 0 partidos como suplente
P_Aubameyang (BDO), 0 partidos como suplente
V_Kompany (MCI), 0 partidos como suplente
Kevin_Trapp (PSG), 0 partidos como suplente
Thiago_Silva (PSG), 0 partidos como suplente
K_Schmeichel (LEI), 0 partidos como suplente
Kevin_Kampl (BLE), 0 partidos como suplente
Thiago (MUN), 0 partidos como suplente
J_Pastore (PSG), 0 partidos como suplente
N_Maksimovic (OPO), 0 partidos como suplente
N_Otamendi (MCI), 0 partidos como suplente
Clinton_N'Jie (OMA), 0 partidos como suplente
K-J_Huntelaar (S04), 0 partidos como suplente
A_Samaris (SLB), 0 partidos como suplente
R_Lewandowski (RMA), 0 partidos como suplente
Sergio_Ramos (RMA), 0 partidos como suplente
M_ter_Stegen (BAR), 0 partidos como suplente
C_Azpilicueta (CHE), 0 partidos como suplente
Adrien_Rabiot (PSG), 0 partidos como suplente
Mariano (SEV), 0 partidos como suplente
Nani (VAL), 0 partidos como suplente
Enzo_Pérez (VAL), 0 partidos como suplente
Bruno_Soriano (VIL), 0 partidos como suplente
F_Coquelin (ARS), 0 partidos como suplente
Koke (ATM), 0 partidos como suplente
Julian_Weigl (BDO), 0 partidos como suplente
J_Vertonghen (TOT), 0 partidos como suplente
Santi_Cazorla (ARS), 0 partidos como suplente
Nolito (MCI), 0 partidos como suplente
Wayne_Rooney (OPO), 0 partidos como suplente
Toto_Salvio (SLB), 0 partidos como suplente
O_Giroud (ARS), 0 partidos como suplente
Yohann_Pelé (OMA), 0 partidos como suplente
R_Varane (RMA), 0 partidos como suplente
Marquinhos (PSG), 0 partidos como suplente
Thiago_Motta (PSG), 0 partidos como suplente
J_Mascherano (NAP), 0 partidos como suplente
Á_Di_María (PSG), 0 partidos como suplente
Sergio_Asenjo (VIL), 0 partidos como suplente
Alex_Sandro (MUN), 0 partidos como suplente
Atsuto_Uchida (MIL), 0 partidos como suplente
Keisuke_Honda (MIL), 0 partidos como suplente
Suso (MIL), 0 partidos como suplente
Carlos_Vela (SEV), 0 partidos como suplente
Nabil_Fekir (LYO), 0 partidos como suplente
Kamil_Glik (ASM), 0 partidos como suplente
Niklas_Süle (NIC), 0 partidos como suplente
C_Ronaldo (RMA), 0 partidos como suplente
D_Carvajal (RMA), 0 partidos como suplente
Isco (RMA), 0 partidos como suplente
André_Gomes (BAR), 0 partidos como suplente
K_Bellarabi (BLE), 0 partidos como suplente
M_Balotelli (NIC), 0 partidos como suplente
E_Garay (VAL), 0 partidos como suplente
A_Isak (AJX), 0 partidos como suplente
Éver_Banega (INT), 0 partidos como suplente
Raúl_Albiol (NAP), 0 partidos como suplente
G_Mercado (SEV), 0 partidos como suplente
Toni_Kroos (RMA), 0 partidos como suplente
Ivan_Perisic (INT), 0 partidos como suplente
W_Carvalho (MUN), 0 partidos como suplente
L_Kurzawa (PSG), 0 partidos como suplente
Marcelo (RMA), 0 partidos como suplente
Gary_Cahill (CHE), 0 partidos como suplente
Nélson_Semedo (SLB), 0 partidos como suplente
J_dos_Santos (VIL), 0 partidos como suplente
G_dos_Santos (VIL), 0 partidos como suplente
M_Trigueros (VIL), 0 partidos como suplente
R_Soriano (VIL), 0 partidos como suplente
Sokratis (BDO), 0 partidos como suplente
Mario_Götze (BDO), 0 partidos como suplente
L_Insigne (NAP), 0 partidos como suplente
T_Hazard (VIL), 0 partidos como suplente
Marco_Reus (BDO), 0 partidos como suplente
J_Rodríguez (PSG), 0 partidos como suplente
C_Ansaldi (INT), 0 partidos como suplente
Mohamed_Salah (ROM), 0 partidos como suplente
E_Mammana (LYO), 0 partidos como suplente
Jérémy_Morel (LYO), 0 partidos como suplente
C_Tolisso (LYO), 0 partidos como suplente
A_Williams (EVE), 0 partidos como suplente
Romelu_Lukaku (EVE), 0 partidos como suplente
Z_Ibrahimovic (PSG), 0 partidos como suplente
Jardel (SLB), 0 partidos como suplente
B_Henrichs (BLE), 0 partidos como suplente
Mário_Rui (ROM), 0 partidos como suplente
W_Vainqueur (OMA), 0 partidos como suplente
Willian (CHE), 0 partidos como suplente
L_Bonucci (JUV), 0 partidos como suplente
Jamie_Vardy (LEI), 0 partidos como suplente
M_Debuchy (LEI), 0 partidos como suplente
B_Höwedes (S04), 0 partidos como suplente
Kai_Havertz (AJX), 0 partidos como suplente
Jonathan_Tah (BLE), 0 partidos como suplente
C_Immobile (TOT), 0 partidos como suplente
Miranda (INT), 0 partidos como suplente
M_Diakhaby (LYO), 0 partidos como suplente
S_Escudero (SEV), 0 partidos como suplente
Leon_Goretzka (S04), 0 partidos como suplente
Karim_Benzema (MUN), 0 partidos como suplente
Juanfran (ATM), 0 partidos como suplente
Bruno_Peres (ROM), 0 partidos como suplente
Jesse_Lingard (PSG), 0 partidos como suplente
Y_Konoplyanka (S04), 0 partidos como suplente
R_Pereira (NIC), 0 partidos como suplente
A_Rahman_Baba (S04), 0 partidos como suplente
O_Boscagli (AJX), 0 partidos como suplente
Yaya_Touré (MCI), 0 partidos como suplente
Jetro_Willems (PSV), 0 partidos como suplente
Érik_Lamela (TOT), 0 partidos como suplente
Pedro_Pereira (AJX), 0 partidos como suplente
Y_Brahimi (OPO), 0 partidos como suplente
J_Locadia (PSV), 0 partidos como suplente
Kenny_Tete (BAR), 0 partidos como suplente
H_Mkhitaryan (MUN), 0 partidos como suplente
N_Mendy (LEI), 0 partidos como suplente
Simone_Zaza (VAL), 0 partidos como suplente
A_Nouri (AJX), 0 partidos como suplente
Riyah_Mahrez (LEI), 0 partidos como suplente
Elseid_Hysaj (MUN), 0 partidos como suplente
Serge_Aurier (PSG), 0 partidos como suplente
B_Mendy (ASM), 0 partidos como suplente
Chicharito (CHE), 0 partidos como suplente
José_Giménez (ATM), 0 partidos como suplente
Ömer_Toprak (BLE), 0 partidos como suplente
S_N'Zonzi (SEV), 0 partidos como suplente
Vitolo (SEV), 0 partidos como suplente
C_Smalling (JUV), 0 partidos como suplente
C_Bakambu (VIL), 0 partidos como suplente
Jorge_Meré (AJX), 0 partidos como suplente
M_Locatelli (AJX), 0 partidos como suplente
J_Kluivert (AJX), 0 partidos como suplente
T_Bakayoko (ASM), 0 partidos como suplente
K_Koulibaly (NAP), 0 partidos como suplente
T_Hernández (NIC), 0 partidos como suplente
Jean_M_Seri (NIC), 0 partidos como suplente
Y_Belhanda (NIC), 0 partidos como suplente
Wylan_Cyprien (NIC), 0 partidos como suplente
V_Koziello (NIC), 0 partidos como suplente
Alassane_Pléa (NIC), 0 partidos como suplente
Maxi_Pereira (OPO), 0 partidos como suplente
S_Jovetic (SEV), 0 partidos como suplente
Malang_Sarr (AJX), 0 partidos como suplente
Leandrinho (AJX), 0 partidos como suplente
D_Rugani (JUV), 0 partidos como suplente
Coke (S04), 0 partidos como suplente
Schwensteiger (S04), 0 partidos como suplente
A_Grimaldo (SLB), 0 partidos como suplente
Mario_Suárez (VAL), 0 partidos como suplente
X_Shaqiri (BDO), 0 partidos como suplente
João_Mário (INT), 0 partidos como suplente
A_Rüdiger (ROM), 0 partidos como suplente
Naldo (S04), 0 partidos como suplente
David_Luiz (CHE), 0 partidos como suplente
F_Ghoulam (NAP), 0 partidos como suplente
Mario_Gaspar (VIL), 0 partidos como suplente
A_Barzagli (JUV), 0 partidos como suplente
Ander_Herrera (NAP), 0 partidos como suplente
Rod_Fanni (OMA), 0 partidos como suplente
Morgan_Sanson (OMA), 0 partidos como suplente
B_Gomis (OMA), 0 partidos como suplente
Nacho_F (OPO), 0 partidos como suplente
Felipe (OPO), 0 partidos como suplente
Jesús_Vallejo (OPO), 0 partidos como suplente
Hugo_Mallo (LEI), 0 partidos como suplente
Robert_Huth (LEI), 0 partidos como suplente
S_Coleman (EVE), 0 partidos como suplente
Phil_Jagielka (EVE), 0 partidos como suplente
Y_Bolasie (EVE), 0 partidos como suplente
C_Fuchs (LEI), 0 partidos como suplente
John_Terry (CHE), 0 partidos como suplente
Kurt_Zouma (CHE), 0 partidos como suplente
André_Almeida (SLB), 0 partidos como suplente
L_López (SLB), 0 partidos como suplente
Theo_Walcott (ARS), 0 partidos como suplente
Tin_Jedvaj (BLE), 0 partidos como suplente
A_Milik (NAP), 0 partidos como suplente
F_de_Jong (AJX), 0 partidos como suplente
