A_Iniesta (BAR), 8 asistencias, 0,800 asistencias por partido
H_Mkhitaryan (MUN), 2 asistencias, 0,333 asistencias por partido
F_Augusto (SLB), 2 asistencias, 0,400 asistencias por partido
B_Matuidi (PSG), 2 asistencias, 0,333 asistencias por partido
José_Ángel (VIL), 2 asistencias, 0,333 asistencias por partido
Jorginho (NAP), 2 asistencias, 0,286 asistencias por partido
Davy_Pröpper (PSV), 2 asistencias, 0,286 asistencias por partido
Hugo_Mallo (LEI), 2 asistencias, 0,333 asistencias por partido
Casemiro (RMA), 2 asistencias, 0,250 asistencias por partido
M_Carrick (CHE), 2 asistencias, 0,250 asistencias por partido
Granit_Xhaka (BMU), 2 asistencias, 0,286 asistencias por partido
N_Chalobah (CHE), 2 asistencias, 0,286 asistencias por partido
Bruno_Soriano (VIL), 2 asistencias, 0,286 asistencias por partido
Memphis_Depay (LYO), 2 asistencias, 0,286 asistencias por partido
Luka_Modric (RMA), 2 asistencias, 0,286 asistencias por partido
Juan_Cuadrado (MUN), 2 asistencias, 0,222 asistencias por partido
Thiago_Motta (PSG), 2 asistencias, 0,286 asistencias por partido
Dele_Alli (TOT), 2 asistencias, 0,222 asistencias por partido
B_Silva (ASM), 2 asistencias, 0,250 asistencias por partido
James_Milner (LIV), 2 asistencias, 0,250 asistencias por partido
W_Carvalho (MUN), 2 asistencias, 0,286 asistencias por partido
J_dos_Santos (VIL), 2 asistencias, 0,286 asistencias por partido
T_Hazard (VIL), 2 asistencias, 0,286 asistencias por partido
Mario_Götze (BDO), 2 asistencias, 0,286 asistencias por partido
C_Ansaldi (INT), 2 asistencias, 0,286 asistencias por partido
Miguel_Veloso (OPO), 2 asistencias, 0,250 asistencias por partido
Danny_Rose (TOT), 2 asistencias, 0,222 asistencias por partido
David_Silva (MCI), 2 asistencias, 0,200 asistencias por partido
A_Schürrle (BDO), 2 asistencias, 0,250 asistencias por partido
Kevin_Volland (BLE), 2 asistencias, 0,222 asistencias por partido
A_Florenzi (ROM), 2 asistencias, 0,222 asistencias por partido
Lucas_Biglia (ATM), 2 asistencias, 0,222 asistencias por partido
S_El_Shaarawy (ROM), 2 asistencias, 0,222 asistencias por partido
Thomas_Lemar (ASM), 2 asistencias, 0,222 asistencias por partido
M_Verratti (BMU), 2 asistencias, 0,182 asistencias por partido
Lars_Bender (BLE), 2 asistencias, 0,222 asistencias por partido
N'Golo_Kanté (CHE), 2 asistencias, 0,167 asistencias por partido
Lionel_Messi (BAR), 2 asistencias, 0,154 asistencias por partido
Axel_Witsel (LIB), 1 asistencias, 1,000 asistencias por partido
Nico_Lodeiro (LIB), 1 asistencias, 1,000 asistencias por partido
Jordy_Clasie (LIB), 1 asistencias, 1,000 asistencias por partido
H_Lozano (LIB), 1 asistencias, 1,000 asistencias por partido
Davy_Klaassen (AJX), 1 asistencias, 1,000 asistencias por partido
Nigel_de_Jong (LIB), 1 asistencias, 1,000 asistencias por partido
A_Fransson (LIB), 1 asistencias, 1,000 asistencias por partido
Marcus_Rohdén (LIB), 1 asistencias, 1,000 asistencias por partido
S_Pérez (LIB), 1 asistencias, 1,000 asistencias por partido
Josh_Onomah (TOT), 1 asistencias, 0,333 asistencias por partido
K_Trippier (TOT), 1 asistencias, 0,333 asistencias por partido
H_Ben_Arfa (PSG), 1 asistencias, 0,250 asistencias por partido
Marcelo_Díaz (LIB), 1 asistencias, 0,500 asistencias por partido
M_Dahoud (LIV), 1 asistencias, 0,250 asistencias por partido
Todd_Kane (CHE), 1 asistencias, 0,500 asistencias por partido
D_Caligiuri (S04), 1 asistencias, 0,500 asistencias por partido
R-P_Lundqvist (PSV), 1 asistencias, 0,333 asistencias por partido
B_Stambouli (S04), 1 asistencias, 0,333 asistencias por partido
Wendell (BLE), 1 asistencias, 0,250 asistencias por partido
Kévin_N'Doram (ASM), 1 asistencias, 0,333 asistencias por partido
Marco_Benassi (LIV), 1 asistencias, 0,200 asistencias por partido
Gareth_Barry (EVE), 1 asistencias, 0,333 asistencias por partido
R_Betancur (BAR), 1 asistencias, 0,250 asistencias por partido
J_Correa (SEV), 1 asistencias, 0,333 asistencias por partido
Franco_Cervi (SLB), 1 asistencias, 0,250 asistencias por partido
Idrissa_Gueye (EVE), 1 asistencias, 0,250 asistencias por partido
Hiroki_Sakai (OMA), 1 asistencias, 0,250 asistencias por partido
C_Musonda (CHE), 1 asistencias, 0,167 asistencias por partido
B_Henrichs (BLE), 1 asistencias, 0,167 asistencias por partido
J_Biabiany (INT), 1 asistencias, 0,200 asistencias por partido
Marek_Hamsik (MUN), 1 asistencias, 0,167 asistencias por partido
Óliver_Torres (BMU), 1 asistencias, 0,200 asistencias por partido
V_Eysseric (NIC), 1 asistencias, 0,250 asistencias por partido
Gabi (ATM), 1 asistencias, 0,250 asistencias por partido
Aaron_Lennon (EVE), 1 asistencias, 0,250 asistencias por partido
André_André (OPO), 1 asistencias, 0,250 asistencias por partido
Marcos_Alonso (MUN), 1 asistencias, 0,250 asistencias por partido
Juan_Bernat (RMA), 1 asistencias, 0,250 asistencias por partido
Rafinha (OPO), 1 asistencias, 0,167 asistencias por partido
R_Hernández (VIL), 1 asistencias, 0,250 asistencias por partido
Rafa_Silva (SLB), 1 asistencias, 0,167 asistencias por partido
Rúben_Neves (BMU), 1 asistencias, 0,167 asistencias por partido
Almamy_Touré (ASM), 1 asistencias, 0,167 asistencias por partido
M_El_Haddadi (VAL), 1 asistencias, 0,167 asistencias por partido
Emerson (ROM), 1 asistencias, 0,143 asistencias por partido
A_Abdennour (VAL), 1 asistencias, 0,200 asistencias por partido
G_Kondogbia (INT), 1 asistencias, 0,200 asistencias por partido
W_Vainqueur (OMA), 1 asistencias, 0,167 asistencias por partido
M_Fernández (OPO), 1 asistencias, 0,200 asistencias por partido
Sergi_Darder (LYO), 1 asistencias, 0,143 asistencias por partido
Kevin_Kampl (BLE), 1 asistencias, 0,143 asistencias por partido
M_Pjanic (JUV), 1 asistencias, 0,200 asistencias por partido
T_Fosu-Mensah (AJX), 1 asistencias, 0,200 asistencias por partido
Joël_Veltman (AJX), 1 asistencias, 0,200 asistencias por partido
Thomas (VIL), 1 asistencias, 0,167 asistencias por partido
Lucas_Digne (BAR), 1 asistencias, 0,200 asistencias por partido
V_Iborra (SEV), 1 asistencias, 0,200 asistencias por partido
G_Sertic (OMA), 1 asistencias, 0,167 asistencias por partido
D_D'Ambrosio (INT), 1 asistencias, 0,200 asistencias por partido
Baumgartinger (BLE), 1 asistencias, 0,125 asistencias por partido
Kai_Havertz (AJX), 1 asistencias, 0,167 asistencias por partido
Miranda (INT), 1 asistencias, 0,167 asistencias por partido
Leon_Goretzka (S04), 1 asistencias, 0,167 asistencias por partido
Juanfran (ATM), 1 asistencias, 0,167 asistencias por partido
Y_Konoplyanka (S04), 1 asistencias, 0,167 asistencias por partido
A_Rahman_Baba (S04), 1 asistencias, 0,167 asistencias por partido
Santi_Mina (VAL), 1 asistencias, 0,125 asistencias por partido
Juan_Mata (MUN), 1 asistencias, 0,111 asistencias por partido
J_Pastore (PSG), 1 asistencias, 0,143 asistencias por partido
N_Mendy (LEI), 1 asistencias, 0,167 asistencias por partido
Elseid_Hysaj (MUN), 1 asistencias, 0,167 asistencias por partido
Luke_Shaw (BMU), 1 asistencias, 0,111 asistencias por partido
S_N'Zonzi (SEV), 1 asistencias, 0,167 asistencias por partido
Wylan_Cyprien (NIC), 1 asistencias, 0,167 asistencias por partido
S_Castillejo (ATM), 1 asistencias, 0,143 asistencias por partido
Maxi_Pereira (OPO), 1 asistencias, 0,167 asistencias por partido
T_Hernández (NIC), 1 asistencias, 0,167 asistencias por partido
A_Grimaldo (SLB), 1 asistencias, 0,167 asistencias por partido
Coke (S04), 1 asistencias, 0,167 asistencias por partido
F_Ghoulam (NAP), 1 asistencias, 0,167 asistencias por partido
Ander_Herrera (NAP), 1 asistencias, 0,167 asistencias por partido
Z_Bakkali (VAL), 1 asistencias, 0,125 asistencias por partido
Cesc_Fàbregas (CHE), 1 asistencias, 0,125 asistencias por partido
D_Drinkwater (CHE), 1 asistencias, 0,125 asistencias por partido
J_Kimmich (BMU), 1 asistencias, 0,143 asistencias por partido
Adrien_Rabiot (PSG), 1 asistencias, 0,143 asistencias por partido
Enzo_Pérez (VAL), 1 asistencias, 0,143 asistencias por partido
K_De_Bruyne (MCI), 1 asistencias, 0,125 asistencias por partido
F_Totti (ROM), 1 asistencias, 0,143 asistencias por partido
Oscar (JUV), 1 asistencias, 0,100 asistencias por partido
Jesús_Corona (OPO), 1 asistencias, 0,143 asistencias por partido
Kurt_Zouma (CHE), 1 asistencias, 0,167 asistencias por partido
Fernandinho (MCI), 1 asistencias, 0,125 asistencias por partido
F_Coquelin (ARS), 1 asistencias, 0,143 asistencias por partido
G_Pereiro (PSV), 1 asistencias, 0,125 asistencias por partido
Nico_Gaitán (ATM), 1 asistencias, 0,125 asistencias por partido
Koke (ATM), 1 asistencias, 0,143 asistencias por partido
Nolito (MCI), 1 asistencias, 0,143 asistencias por partido
M_Brozovic (INT), 1 asistencias, 0,143 asistencias por partido
K_Mirallas (EVE), 1 asistencias, 0,125 asistencias por partido
João_Cancelo (VAL), 1 asistencias, 0,143 asistencias por partido
Pizzi (SLB), 1 asistencias, 0,143 asistencias por partido
Alex_Sandro (MUN), 1 asistencias, 0,143 asistencias por partido
R_Sterling (MCI), 1 asistencias, 0,125 asistencias por partido
Nabil_Fekir (LYO), 1 asistencias, 0,143 asistencias por partido
C_Ronaldo (RMA), 1 asistencias, 0,143 asistencias por partido
K_Bellarabi (BLE), 1 asistencias, 0,143 asistencias por partido
Bernard (NAP), 1 asistencias, 0,125 asistencias por partido
L_Kurzawa (PSG), 1 asistencias, 0,143 asistencias por partido
Mousa_Dembélé (TOT), 1 asistencias, 0,125 asistencias por partido
Nélson_Semedo (SLB), 1 asistencias, 0,143 asistencias por partido
M_Trigueros (VIL), 1 asistencias, 0,143 asistencias por partido
R_Soriano (VIL), 1 asistencias, 0,143 asistencias por partido
Marco_Asensio (RMA), 1 asistencias, 0,125 asistencias por partido
J_Rodríguez (PSG), 1 asistencias, 0,143 asistencias por partido
Lucas_Vazquez (OPO), 1 asistencias, 0,125 asistencias por partido
Dani_Parejo (VAL), 1 asistencias, 0,143 asistencias por partido
S_Busquets (BAR), 1 asistencias, 0,125 asistencias por partido
A_Fernández (ATM), 1 asistencias, 0,125 asistencias por partido
Ross_Barkley (EVE), 1 asistencias, 0,125 asistencias por partido
Ivan_Rakitic (BAR), 1 asistencias, 0,125 asistencias por partido
D_De_Rossi (ROM), 1 asistencias, 0,111 asistencias por partido
G_Wijnaldum (LIV), 1 asistencias, 0,125 asistencias por partido
L_Baines (EVE), 1 asistencias, 0,125 asistencias por partido
R_Nainggolan (ROM), 1 asistencias, 0,125 asistencias por partido
Ó_de_Marcos (VIL), 1 asistencias, 0,125 asistencias por partido
R_Guerreiro (BDO), 1 asistencias, 0,125 asistencias por partido
O_Dembélé (BDO), 1 asistencias, 0,125 asistencias por partido
M_Valbuena (LYO), 1 asistencias, 0,111 asistencias por partido
I_Güngogan (MCI), 1 asistencias, 0,125 asistencias por partido
Dimitri_Payet (OMA), 1 asistencias, 0,125 asistencias por partido
Jaume_Costa (VIL), 1 asistencias, 0,125 asistencias por partido
Fabinho (ASM), 1 asistencias, 0,125 asistencias por partido
F_Orellana (VAL), 1 asistencias, 0,125 asistencias por partido
M_Gonalons (LYO), 1 asistencias, 0,125 asistencias por partido
Paul_Pogba (BMU), 1 asistencias, 0,100 asistencias por partido
Thomas_Müller (ASM), 1 asistencias, 0,111 asistencias por partido
G_Bonaventura (MIL), 1 asistencias, 0,125 asistencias por partido
M_De_Sciglio (MIL), 1 asistencias, 0,125 asistencias por partido
N_Clyne (LIV), 1 asistencias, 0,125 asistencias por partido
Jordi_Alba (BAR), 1 asistencias, 0,125 asistencias por partido
P_Aubameyang (BDO), 1 asistencias, 0,125 asistencias por partido
A_Sánchez (ARS), 1 asistencias, 0,111 asistencias por partido
Thiago_Silva (PSG), 1 asistencias, 0,125 asistencias por partido
A_Moreno (LIV), 1 asistencias, 0,100 asistencias por partido
M_Darmian (NAP), 1 asistencias, 0,111 asistencias por partido
Paulo_Dybala (BAR), 0 asistencias, 0,000 asistencias por partido
Diego_Costa (CHE), 0 asistencias, 0,000 asistencias por partido
N_Castillo (PSG), 0 asistencias, 0,000 asistencias por partido
G_dos_Santos (VIL), 0 asistencias, 0,000 asistencias por partido
G_Deulofeu (MIL), 0 asistencias, 0,000 asistencias por partido
Neymar (BAR), 0 asistencias, 0,000 asistencias por partido
Arouna_Koné (EVE), 0 asistencias, 0,000 asistencias por partido
Y_Brahimi (OPO), 0 asistencias, 0,000 asistencias por partido
Kylian_Mbappé (ASM), 0 asistencias, 0,000 asistencias por partido
Leon_Bailey (BLE), 0 asistencias, 0,000 asistencias por partido
Carlos_Vela (SEV), 0 asistencias, 0,000 asistencias por partido
Dries_Mertens (NAP), 0 asistencias, 0,000 asistencias por partido
M_Rashford (MUN), 0 asistencias, 0,000 asistencias por partido
A_Milik (NAP), 0 asistencias, 0,000 asistencias por partido
Karim_Benzema (MUN), 0 asistencias, 0,000 asistencias por partido
Álvaro_Morata (RMA), 0 asistencias, 0,000 asistencias por partido
Luis_Suárez (JUV), 0 asistencias, 0,000 asistencias por partido
Rodrigo (VAL), 0 asistencias, 0,000 asistencias por partido
Chicharito (CHE), 0 asistencias, 0,000 asistencias por partido
José_Callejón (NAP), 0 asistencias, 0,000 asistencias por partido
Kévin_Gameiro (ATM), 0 asistencias, 0,000 asistencias por partido
Wayne_Rooney (OPO), 0 asistencias, 0,000 asistencias por partido
Romelu_Lukaku (EVE), 0 asistencias, 0,000 asistencias por partido
H_Calhanoglu (BLE), 0 asistencias, 0,000 asistencias por partido
Adam_Lallana (LIV), 0 asistencias, 0,000 asistencias por partido
A_Griezmann (ATM), 0 asistencias, 0,000 asistencias por partido
Gareth_Bale (BMU), 0 asistencias, 0,000 asistencias por partido
Arjen_Robben (BMU), 0 asistencias, 0,000 asistencias por partido
Jeremain_Lens (LIB), 0 asistencias, 0,000 asistencias por partido
Theo_Walcott (ARS), 0 asistencias, 0,000 asistencias por partido
L_Martínez (AJX), 0 asistencias, 0,000 asistencias por partido
Jamie_Vardy (LEI), 0 asistencias, 0,000 asistencias por partido
Saúl_Ñíguez (ATM), 0 asistencias, 0,000 asistencias por partido
C_Bakambu (VIL), 0 asistencias, 0,000 asistencias por partido
S_Jovetic (SEV), 0 asistencias, 0,000 asistencias por partido
R_Lewandowski (RMA), 0 asistencias, 0,000 asistencias por partido
Arda_Turan (JUV), 0 asistencias, 0,000 asistencias por partido
K_Strootman (ROM), 0 asistencias, 0,000 asistencias por partido
R_Palacio (INT), 0 asistencias, 0,000 asistencias por partido
M_Mandzukic (OPO), 0 asistencias, 0,000 asistencias por partido
M_Balotelli (NIC), 0 asistencias, 0,000 asistencias por partido
Marco_Reus (BDO), 0 asistencias, 0,000 asistencias por partido
D_Sturridge (LIV), 0 asistencias, 0,000 asistencias por partido
Admir_Mehmedi (BLE), 0 asistencias, 0,000 asistencias por partido
Mohamed_Salah (ROM), 0 asistencias, 0,000 asistencias por partido
Z_Ibrahimovic (PSG), 0 asistencias, 0,000 asistencias por partido
P_Coutinho (LIV), 0 asistencias, 0,000 asistencias por partido
Douglas_Costa (BMU), 0 asistencias, 0,000 asistencias por partido
Sergio_Agüero (MCI), 0 asistencias, 0,000 asistencias por partido
Ahmed_Musa (BAR), 0 asistencias, 0,000 asistencias por partido
F_Soares (OPO), 0 asistencias, 0,000 asistencias por partido
O-Chamberlain (ARS), 0 asistencias, 0,000 asistencias por partido
A_Donis (NIC), 0 asistencias, 0,000 asistencias por partido
A_Lusamba (NIC), 0 asistencias, 0,000 asistencias por partido
Nabil_Dirar (ASM), 0 asistencias, 0,000 asistencias por partido
Otávio (OPO), 0 asistencias, 0,000 asistencias por partido
E_Giaccherini (NAP), 0 asistencias, 0,000 asistencias por partido
J_Draxler (RMA), 0 asistencias, 0,000 asistencias por partido
Paco_Alcácer (OPO), 0 asistencias, 0,000 asistencias por partido
Sadio_Mané (LIV), 0 asistencias, 0,000 asistencias por partido
Ganso (SEV), 0 asistencias, 0,000 asistencias por partido
Lucas_Pérez (LEI), 0 asistencias, 0,000 asistencias por partido
Nacho_Monreal (ATM), 0 asistencias, 0,000 asistencias por partido
Heung-Min_Son (TOT), 0 asistencias, 0,000 asistencias por partido
Renato_S (LEI), 0 asistencias, 0,000 asistencias por partido
Alessio_Cerci (VIL), 0 asistencias, 0,000 asistencias por partido
A_Candreva (INT), 0 asistencias, 0,000 asistencias por partido
Bernardeschi (NAP), 0 asistencias, 0,000 asistencias por partido
M_Montoya (VAL), 0 asistencias, 0,000 asistencias por partido
Clinton_N'Jie (OMA), 0 asistencias, 0,000 asistencias por partido
K-J_Huntelaar (S04), 0 asistencias, 0,000 asistencias por partido
Y_Belhanda (NIC), 0 asistencias, 0,000 asistencias por partido
Alassane_Pléa (NIC), 0 asistencias, 0,000 asistencias por partido
Breel_Embolo (S04), 0 asistencias, 0,000 asistencias por partido
O_Giroud (ARS), 0 asistencias, 0,000 asistencias por partido
Lucas_Ocampos (SLB), 0 asistencias, 0,000 asistencias por partido
Islam_Slimani (LEI), 0 asistencias, 0,000 asistencias por partido
Keisuke_Honda (MIL), 0 asistencias, 0,000 asistencias por partido
Suso (MIL), 0 asistencias, 0,000 asistencias por partido
Edin_Dzeko (ROM), 0 asistencias, 0,000 asistencias por partido
A_Isak (AJX), 0 asistencias, 0,000 asistencias por partido
Kyle_Walker (TOT), 0 asistencias, 0,000 asistencias por partido
K_Coman (BMU), 0 asistencias, 0,000 asistencias por partido
M_Schmelzer (BDO), 0 asistencias, 0,000 asistencias por partido
A_Lacazette (LYO), 0 asistencias, 0,000 asistencias por partido
Carlos_Bacca (MIL), 0 asistencias, 0,000 asistencias por partido
Marc_Janko (LIB), 0 asistencias, 0,000 asistencias por partido
W_Sneijder (LIB), 0 asistencias, 0,000 asistencias por partido
Javier_Aquino (LIB), 0 asistencias, 0,000 asistencias por partido
G_Guedes (PSG), 0 asistencias, 0,000 asistencias por partido
Robin_Quaison (LIB), 0 asistencias, 0,000 asistencias por partido
E_Forsberg (LIB), 0 asistencias, 0,000 asistencias por partido
Timo_Werner (RMA), 0 asistencias, 0,000 asistencias por partido
R_van_Persie (LIB), 0 asistencias, 0,000 asistencias por partido
M_Torres (LIB), 0 asistencias, 0,000 asistencias por partido
Shinji_Kagawa (BDO), 0 asistencias, 0,000 asistencias por partido
G-K_N'Koudou (TOT), 0 asistencias, 0,000 asistencias por partido
K_Iheanacho (MCI), 0 asistencias, 0,000 asistencias por partido
L_Ulloa (LEI), 0 asistencias, 0,000 asistencias por partido
Quaresma (LIB), 0 asistencias, 0,000 asistencias por partido
Emre_Mor (BDO), 0 asistencias, 0,000 asistencias por partido
Sam_Lammers (PSV), 0 asistencias, 0,000 asistencias por partido
G_Boschilia (ASM), 0 asistencias, 0,000 asistencias por partido
G_Burgstaller (S04), 0 asistencias, 0,000 asistencias por partido
Leo_Baptistão (LIV), 0 asistencias, 0,000 asistencias por partido
Loftus-Cheek (CHE), 0 asistencias, 0,000 asistencias por partido
M_Oyarzabal (ARS), 0 asistencias, 0,000 asistencias por partido
André_Silva (JUV), 0 asistencias, 0,000 asistencias por partido
N_Bentaleb (S04), 0 asistencias, 0,000 asistencias por partido
Rafetraniaina (NIC), 0 asistencias, 0,000 asistencias por partido
C_Pulisic (BDO), 0 asistencias, 0,000 asistencias por partido
E_Valencia (EVE), 0 asistencias, 0,000 asistencias por partido
Tom_Davies (EVE), 0 asistencias, 0,000 asistencias por partido
Denis_Suárez (PSG), 0 asistencias, 0,000 asistencias por partido
Abou_Diaby (OMA), 0 asistencias, 0,000 asistencias por partido
F_Torres (ATM), 0 asistencias, 0,000 asistencias por partido
Victor_Moses (CHE), 0 asistencias, 0,000 asistencias por partido
A_Schöpf (S04), 0 asistencias, 0,000 asistencias por partido
Lucas (BAR), 0 asistencias, 0,000 asistencias por partido
Ángel_Correa (ATM), 0 asistencias, 0,000 asistencias por partido
Julian_Brandt (BLE), 0 asistencias, 0,000 asistencias por partido
M_Albrighton (LEI), 0 asistencias, 0,000 asistencias por partido
R_Ghezzal (LYO), 0 asistencias, 0,000 asistencias por partido
D_Cheryshev (MUN), 0 asistencias, 0,000 asistencias por partido
P_Zielinski (NAP), 0 asistencias, 0,000 asistencias por partido
R_Soldado (VIL), 0 asistencias, 0,000 asistencias por partido
L_Paredes (ROM), 0 asistencias, 0,000 asistencias por partido
Matías_Britos (PSG), 0 asistencias, 0,000 asistencias por partido
G_Higuaín (JUV), 0 asistencias, 0,000 asistencias por partido
J_Pohjanpalo (BLE), 0 asistencias, 0,000 asistencias por partido
Mário_Rui (ROM), 0 asistencias, 0,000 asistencias por partido
A_Dragovic (BLE), 0 asistencias, 0,000 asistencias por partido
Mauro_Icardi (INT), 0 asistencias, 0,000 asistencias por partido
F_Passlack (AJX), 0 asistencias, 0,000 asistencias por partido
K_Dolberg (AJX), 0 asistencias, 0,000 asistencias por partido
Willian (CHE), 0 asistencias, 0,000 asistencias por partido
D_van_de_Beek (AJX), 0 asistencias, 0,000 asistencias por partido
F_Vázquez (SEV), 0 asistencias, 0,000 asistencias por partido
C_Marchisio (JUV), 0 asistencias, 0,000 asistencias por partido
A_Kolarov (MCI), 0 asistencias, 0,000 asistencias por partido
Dani_Ceballos (LEI), 0 asistencias, 0,000 asistencias por partido
A_Martial (MUN), 0 asistencias, 0,000 asistencias por partido
C_Immobile (TOT), 0 asistencias, 0,000 asistencias por partido
S_Escudero (SEV), 0 asistencias, 0,000 asistencias por partido
Mau_Lemos (BMU), 0 asistencias, 0,000 asistencias por partido
Pedro (CHE), 0 asistencias, 0,000 asistencias por partido
B_Ramselaar (PSV), 0 asistencias, 0,000 asistencias por partido
Diego_Perotti (ROM), 0 asistencias, 0,000 asistencias por partido
Alex_Telles (OPO), 0 asistencias, 0,000 asistencias por partido
D_Sinkgraven (SLB), 0 asistencias, 0,000 asistencias por partido
Thiago (MUN), 0 asistencias, 0,000 asistencias por partido
Joshua_Brenet (PSV), 0 asistencias, 0,000 asistencias por partido
Simone_Zaza (VAL), 0 asistencias, 0,000 asistencias por partido
Riyah_Mahrez (LEI), 0 asistencias, 0,000 asistencias por partido
Serge_Aurier (PSG), 0 asistencias, 0,000 asistencias por partido
J_Kluivert (AJX), 0 asistencias, 0,000 asistencias por partido
João_Mário (INT), 0 asistencias, 0,000 asistencias por partido
B_Gomis (OMA), 0 asistencias, 0,000 asistencias por partido
Álvaro_Medrán (VAL), 0 asistencias, 0,000 asistencias por partido
Nani (VAL), 0 asistencias, 0,000 asistencias por partido
Y_Bolasie (EVE), 0 asistencias, 0,000 asistencias por partido
Phil_Jagielka (EVE), 0 asistencias, 0,000 asistencias por partido
Lichtsteiner (JUV), 0 asistencias, 0,000 asistencias por partido
John_Terry (CHE), 0 asistencias, 0,000 asistencias por partido
Luuk_de_Jong (PSV), 0 asistencias, 0,000 asistencias por partido
S_Arias (PSV), 0 asistencias, 0,000 asistencias por partido
Santi_Cazorla (ARS), 0 asistencias, 0,000 asistencias por partido
Toto_Salvio (SLB), 0 asistencias, 0,000 asistencias por partido
K_Mitroglou (SLB), 0 asistencias, 0,000 asistencias por partido
H_Herrera (OPO), 0 asistencias, 0,000 asistencias por partido
Bacary_Sagna (MCI), 0 asistencias, 0,000 asistencias por partido
C_Eriksen (TOT), 0 asistencias, 0,000 asistencias por partido
Atsuto_Uchida (MIL), 0 asistencias, 0,000 asistencias por partido
Éver_Banega (INT), 0 asistencias, 0,000 asistencias por partido
G_Mercado (SEV), 0 asistencias, 0,000 asistencias por partido
Toni_Kroos (RMA), 0 asistencias, 0,000 asistencias por partido
Ivan_Perisic (INT), 0 asistencias, 0,000 asistencias por partido
Eden_Hazard (CHE), 0 asistencias, 0,000 asistencias por partido
Leroy_Sané (MCI), 0 asistencias, 0,000 asistencias por partido
P_Zabaleta (MCI), 0 asistencias, 0,000 asistencias por partido
Filipe_Luís (ATM), 0 asistencias, 0,000 asistencias por partido
Philipp_Lahm (BMU), 0 asistencias, 0,000 asistencias por partido
Arturo_Vidal (PSG), 0 asistencias, 0,000 asistencias por partido
J_Murillo (INT), 0 asistencias, 0,000 asistencias por partido
R_Rodríguez (MIL), 0 asistencias, 0,000 asistencias por partido
João_Moutinho (ASM), 0 asistencias, 0,000 asistencias por partido
L_Koscielny (ARS), 0 asistencias, 0,000 asistencias por partido
David_Alaba (BMU), 0 asistencias, 0,000 asistencias por partido
L_Insigne (NAP), 0 asistencias, 0,000 asistencias por partido
Falcao (MUN), 0 asistencias, 0,000 asistencias por partido
Gabriel_Jesus (MCI), 0 asistencias, 0,000 asistencias por partido
A_Zivkovic (SLB), 0 asistencias, 0,000 asistencias por partido
Jonas (SLB), 0 asistencias, 0,000 asistencias por partido
Gabriel_B (INT), 0 asistencias, 0,000 asistencias por partido
S_Kiebling (BLE), 0 asistencias, 0,000 asistencias por partido
Harry_Kane (TOT), 0 asistencias, 0,000 asistencias por partido
Siem_de_Jong (PSV), 0 asistencias, 0,000 asistencias por partido
Ashley_Young (LEI), 0 asistencias, 0,000 asistencias por partido
N_Sansone (VIL), 0 asistencias, 0,000 asistencias por partido
I_Williams (LEI), 0 asistencias, 0,000 asistencias por partido
Maxwel_Cornet (LYO), 0 asistencias, 0,000 asistencias por partido
